Q6P2Q9	PRPF8
P32660	DNF1
Q12675	DNF2
P68371	TUBB4B
P04350	TUBB4A
P07437	TUBB
Q9BVA1	TUBB2B
Q13885	TUBB2A
Q13509	TUBB3
Q3ZCM7	TUBB8
Q9BUF5	TUBB6
Q9H4B7	TUBB1
P02557	TUB2
P68366	TUBA4A
Q9BQE3	TUBA1C
P68363	TUBA1B
Q71U36	TUBA1A
Q13748	TUBA3C
Q6PEY2	TUBA3E
Q9NY65	TUBA8
P09733	TUB1
P09734	TUB3
P0CG48	UBC
P0CG63	UBI4
P14735	IDE
Q06010	STE23
Q15477	SKIV2L
P35207	SKI2
Q99460	PSMD1
P32565	RPN2
Q9H7F0	ATP13A3
Q4VNC1	ATP13A4
Q4VNC0	ATP13A5
Q9NQ11	ATP13A2
Q12697	YPK9
P60709	ACTB
P63261	ACTG1
P62736	ACTA2
P63267	ACTG2
P68032	ACTC1
P68133	ACTA1
Q562R1	ACTBL2
Q9BYX7	POTEKP
P60010	ACT1
Q14566	MCM6
P53091	MCM6
Q9UQE7	SMC3
P47037	SMC3
P09884	POLA1
P13382	POL1
P43246	MSH2
P25847	MSH2
P22102	GART
P07244	ADE5,7
Q99832	CCT7
P42943	CCT7
P48643	CCT5
P40413	CCT5
P41091	EIF2S3
Q2VIR3	EIF2S3B
F8W810	EIF2S3B
P32481	GCD11
P17812	CTPS1
Q9NRF8	CTPS2
P28274	URA7
P38627	URA8
P17987	TCP1
P12612	TCP1
Q01433	AMPD2
Q01432	AMPD3
P23109	AMPD1
P15274	AMD1
O15067	PFAS
P38972	ADE6
P78371	CCT2
P39076	CCT2
P54098	POLG
P15801	MIP1
Q9Y2I7	PIKFYVE
P34756	FAB1
P33991	MCM4
P30665	MCM4
Q7Z6Z7	HUWE1
Q03280	TOM1
Q9Y4W6	AFG3L2
P40341	YTA12
P39925	AFG3
Q15046	KARS
P15180	KRS1
Q13200	PSMD2
P38764	RPN1
P35998	PSMC2
P33299	RPT1
P52209	PGD
P38720	GND1
P53319	GND2
P49368	CCT3
P39077	CCT3
Q03468	ERCC6
P40352	RAD26
P33992	MCM5
P29496	MCM5
P00395	MT-CO1
P00401	COX1
P06744	GPI
P12709	PGI1
P33993	MCM7
P38132	MCM7
P23526	AHCY
P39954	SAH1
P62191	PSMC1
P40327	RPT2
Q9Y265	RUVBL1
Q03940	RVB1
Q93050	ATP6V0A1
Q9HBG4	ATP6V0A4
Q9Y487	ATP6V0A2
Q13488	TCIRG1
P32563	VPH1
P37296	STV1
P46459	NSF
P18759	SEC18
Q9Y230	RUVBL2
Q12464	RVB2
P07954	FH
P08417	FUM1
Q9NVP1	DDX18
Q03532	HAS1
Q92698	RAD54L
P32863	RAD54
P50991	CCT4
P39078	CCT4
P56192	MARS
P00958	MES1
Q01813	PFKP
P08237	PFKM
P17858	PFKL
P16862	PFK2
P16861	PFK1
O60832	DKC1
P33322	CBF5
O00429	DNM1L
P54861	DNM1
P25205	MCM3
P24279	MCM3
P49589	CARS
P53852	
P62195	PSMC5
Q01939	RPT6
P62495	ETF1
P12385	SUP45
P10809	HSPD1
P19882	HSP60
Q5JRX3	PITRM1
P32898	CYM1
P41250	GARS
P38088	GRS1
Q06817	GRS2
Q9UNX4	WDR3
Q12220	DIP2
P30566	ADSL
Q05911	ADE13
Q9Y5B9	SUPT16H
P32558	SPT16
P40227	CCT6A
Q92526	CCT6B
P39079	CCT6
Q9NR19	ACSS2
P52910	ACS2
Q01574	ACS1
Q8N442	GUF1
P46943	GUF1
P17980	PSMC3
P33297	RPT5
O15381	NVL
Q07844	RIX7
Q9NSE4	IARS2
P48526	ISM1
P55060	CSE1L
P33307	CSE1
O15523	DDX3Y
O00571	DDX3X
P06634	DED1
P24784	DBP1
O95427	PIGN
P36051	MCD4
O75027	ABCB7
P40416	ATM1
Q8IY37	DHX37
Q04217	ECM16
Q16134	ETFDH
Q08822	CIR2
O75390	CS
P00890	CIT1
P08679	CIT2
P17844	DDX5
Q92841	DDX17
P24783	DBP2
Q96PU5	NEDD4L
P46934	NEDD4
P39940	RSP5
Q92769	HDAC2
Q13547	HDAC1
P32561	RPD3
Q9NTJ4	MAN2C1
P22855	AMS1
Q14697	GANAB
Q8TET4	GANC
P38138	ROT2
P26196	DDX6
P39517	DHH1
Q9UG63	ABCF2
P40024	ARB1
Q14683	SMC1A
Q8NDV3	SMC1B
P32908	SMC1
O75691	UTP20
P35194	UTP20
Q9Y697	NFS1
P25374	NFS1
Q01814	ATP2B2
Q16720	ATP2B3
P20020	ATP2B1
P23634	ATP2B4
P38929	PMC1
Q8NB90	SPATA5
P32794	AFG2
Q96RL7	VPS13A
Q709C8	VPS13C
Q07878	VPS13
P36873	PPP1CC
P62136	PPP1CA
P62140	PPP1CB
P32598	GLC7
O15118	NPC1
Q9UHC9	NPC1L1
Q12200	NCR1
P13929	ENO3
P09104	ENO2
P06733	ENO1
P00924	ENO1
P00925	ENO2
P0CX10	ERR1
P0CX11	ERR2
P42222	ERR3
Q00266	MAT1A
P31153	MAT2A
P10659	SAM1
P19358	SAM2
Q13838	DDX39B
O00148	DDX39A
Q07478	SUB2
P18858	LIG1
P04819	CDC9
Q92878	RAD50
P12753	RAD50
Q9BZE4	GTPBP4
Q02892	NOG1
Q9NUQ8	ABCF3
P43535	GCN20
O43776	NARS
P38707	DED81
P43686	PSMC4
P33298	RPT3
Q14137	BOP1
Q96Q25	BOP1
Q04660	ERB1
P36871	PGM1
Q15124	PGM5
P37012	PGM2
P33401	PGM1
P11387	TOP1
Q969P6	TOP1MT
P04786	TOP1
P09622	DLD
P09624	LPD1
Q9Y2Z2	MTO1
P53070	MTO1
P39023	RPL3
Q92901	RPL3L
P14126	RPL3
P62333	PSMC6
P53549	RPT4
P14868	DARS
P04802	DPS1
P34896	SHMT1
P34897	SHMT2
P37291	SHM2
P48449	LSS
P38604	ERG7
P61619	SEC61A1
Q9H9S3	SEC61A2
P32915	SEC61
O75874	IDH1
P48735	IDH2
P21954	IDP1
P41939	IDP2
P53982	IDP3
Q9UKF6	CPSF3
Q06224	YSH1
Q6ZV29	PNPLA7
Q8IY17	PNPLA6
Q04958	NTE1
P61160	ACTR2
P32381	ARP2
Q8NEB9	PIK3C3
P22543	VPS34
Q08209	PPP3CA
P48454	PPP3CC
P16298	PPP3CB
P14747	CMP2
P23287	CNA1
P35670	ATP7B
Q04656	ATP7A
P38995	CCC2
Q15031	LARS2
P11325	NAM2
P00558	PGK1
P07205	PGK2
P00560	PGK1
Q14738	PPP2R5D
Q13362	PPP2R5C
Q16537	PPP2R5E
Q15172	PPP2R5A
Q15173	PPP2R5B
P38903	RTS1
P15170	GSPT1
Q8IYD1	GSPT2
P05453	SUP35
P52701	MSH6
Q03834	MSH6
O60684	KPNA6
O15131	KPNA5
P52294	KPNA1
Q02821	SRP1
P55786	NPEPPS
A6NEC2	NPEPPSL1
P37898	AAP1
P32454	APE2
Q9NPH2	ISYNA1
P11986	INO1
O75351	VPS4B
Q9UN37	VPS4A
P52917	VPS4
P47897	QARS
P13188	GLN4
A5YKK6	CNOT1
P25655	CDC39
P60842	EIF4A1
Q14240	EIF4A2
P10081	TIF1
Q8N142	ADSSL1
P30520	ADSS
P80210	ADE12
O95163	ELP1
Q06706	IKI3
P62714	PPP2CB
P67775	PPP2CA
P23595	PPH22
P23594	PPH21
P49411	TUFM
P02992	TUF1
Q13206	DDX10
P20448	HCA4
Q9NSD9	FARSB
P15624	FRS1
P04035	HMGCR
P12683	HMG1
P12684	HMG2
Q16851	UGP2
P32861	UGP1
P38919	EIF4A3
Q12099	FAL1
P31150	GDI1
P50395	GDI2
P39958	GDI1
Q9UBF2	COPG2
Q9Y678	COPG1
P32074	SEC21
P42356	PI4KA
P37297	STT4
Q13823	GNL2
P53742	NOG2
Q92562	FIG4
P42837	FIG4
P04424	ASL
P04076	ARG4
P40692	MLH1
P38920	MLH1
P30837	ALDH1B1
P05091	ALDH2
O94788	ALDH1A2
P00352	ALDH1A1
P47895	ALDH1A3
P46367	ALD4
P40047	ALD5
P54115	ALD6
Q9BSC4	NOL10
P48234	ENP2
Q9Y295	DRG1
P39729	RBG1
P61158	ACTR3
Q9P1U1	ACTR3B
P47117	ARP3
Q8N465	D2HGDH
P46681	DLD2
P39976	DLD3
P46087	NOP2
P40991	NOP2
Q9NRZ9	HELLS
P43610	IRC5
Q4VXU2	PABPC1L
P11940	PABPC1
Q13310	PABPC4
Q9H361	PABPC3
P04147	PAB1
A2PYH4	HFM1
P51979	HFM1
P11766	ADH5
P32771	SFA1
Q96KP4	CNDP2
Q96KN2	CNDP1
P43616	DUG1
Q8TDD1	DDX54
Q12389	DBP10
P14618	PKM
P30613	PKLR
P00549	CDC19
P52489	PYK2
P50990	CCT8
P47079	CCT8
Q6PL18	ATAD2
Q9ULI0	ATAD2B
P40340	YTA7
P48506	GCLC
P32477	GSH1
P30154	PPP2R1B
P30153	PPP2R1A
P31383	TPD3
O00567	NOP56
Q12460	NOP56
Q9H4L7	SMARCAD1
P31380	FUN30
Q14974	KPNB1
Q06142	KAP95
P43304	GPD2
P32191	GUT2
O15270	SPTLC2
Q9NUV7	SPTLC3
P40970	LCB2
Q99570	PIK3R4
P22219	VPS15
Q9NVX2	NLE1
P25382	RSA4
Q9BZJ0	CRNKL1
Q12309	CLF1
O00410	IPO5
O60518	RANBP6
P32337	PSE1
Q93009	USP7
P50101	UBP15
Q9BXS5	AP1M1
Q9Y6Q5	AP1M2
Q00776	APM1
Q9Y2T4	PPP2R2C
Q00005	PPP2R2B
Q66LE6	PPP2R2D
P63151	PPP2R2A
Q00362	CDC55
Q9Y2H1	STK38L
Q15208	STK38
P53894	CBK1
Q06609	RAD51
P25454	RAD51
P34932	HSPA4
O95757	HSPA4L
Q92598	HSPH1
P32590	SSE2
P32589	SSE1
P12081	HARS
P49590	HARS2
P07263	HTS1
P04040	CAT
P15202	CTA1
P31350	RRM2
Q7LG56	RRM2B
P09938	RNR2
P08183	ABCB1
P21439	ABCB4
O95342	ABCB11
Q2M3G0	ABCB5
P12866	STE6
O43426	SYNJ1
O15056	SYNJ2
P50942	INP52
Q12271	INP53
Q6PFW1	PPIP5K1
O43314	PPIP5K2
Q06685	VIP1
Q92973	TNPO1
O14787	TNPO2
P38217	KAP104
Q9NV66	TYW1
Q6NUM6	TYW1B
Q08960	TYW1
Q5VYK3	ECPAS
P38737	ECM29
Q96TA2	YME1L1
P32795	YME1
Q9Y2X3	NOP58
Q12499	NOP58
Q9UKY4	POMT2
P31382	PMT2
P47190	PMT3
P42934	PMT6
P42898	MTHFR
P53128	MET13
Q13393	PLD1
O14939	PLD2
P36126	SPO14
Q9Y285	FARSA
P15625	FRS2
P51649	ALDH5A1
P38067	UGA2
P61011	SRP54
P20424	SRP54
P23381	WARS
Q12109	WRS1
Q96D46	NMD3
P38861	NMD3
P54278	PMS2
P14242	PMS1
Q9NRK6	ABCB10
P33310	MDL1
P33311	MDL2
P63010	AP2B1
Q10567	AP1B1
P36000	APL2
Q13177	PAK2
Q13153	PAK1
O75914	PAK3
Q03497	STE20
Q8NI36	WDR36
Q06078	UTP21
Q9H0S4	DDX47
P38712	RRP3
P20585	MSH3
P25336	MSH3
P04406	GAPDH
O14556	GAPDHS
P00359	TDH3
P00358	TDH2
P00360	TDH1
Q13472	TOP3A
P13099	TOP3
P51530	DNA2
P38859	DNA2
P11413	G6PD
P11412	ZWF1
Q7L014	DDX46
P21372	PRP5
Q9Y5P6	GMPPB
P41940	PSA1
P48730	CSNK1D
P49674	CSNK1E
P48729	CSNK1A1
P29295	HRR25
Q92544	TM9SF4
Q99805	TM9SF2
P32802	EMP70
Q04562	TMN2
P52888	THOP1
Q9BYT8	NLN
P25375	PRD1
P30038	ALDH4A1
P07275	PUT2
P00390	GSR
P41921	GLR1
Q14669	TRIP12
P33202	UFD4
Q9NY93	DDX56
Q06218	DBP9
Q08J23	NSUN2
P38205	NCL1
P55039	DRG2
P53295	RBG2
P35251	RFC1
P38630	RFC1
P09960	LTA4H
Q10740	LAP2
Q96GQ7	DDX27
P32892	DRS1
Q02156	PRKCE
P24723	PRKCH
P17252	PRKCA
P05771	PRKCB
P05129	PRKCG
Q05655	PRKCD
Q04759	PRKCQ
P24583	PKC1
Q9NUU7	DDX19A
Q9UMR2	DDX19B
Q9UHL0	DDX25
H3BN59	
P20449	DBP5
P13797	PLS3
P13796	LCP1
Q14651	PLS1
P32599	SAC6
Q01581	HMGCS1
P54868	HMGCS2
P54839	ERG13
O95487	SEC24B
O95486	SEC24A
P40482	SEC24
P53953	SFB2
P68400	CSNK2A1
Q8NEV1	CSNK2A3
P15790	CKA1
Q9Y276	BCS1L
P32839	BCS1
P39748	FEN1
P26793	RAD27
Q96QK1	VPS35
P34110	VPS35
P50579	METAP2
P38174	MAP2
Q9NY33	DPP3
Q08225	
Q9NQW7	XPNPEP1
O43895	XPNPEP2
Q07825	FRA1
O00541	PES1
P53261	NOP7
Q8TD30	GPT2
P24298	GPT
P52892	ALT2
P52893	ALT1
P15104	GLUL
P32288	GLN1
Q9NPF4	OSGEP
P36132	KAE1
P00966	ASS1
P22768	ARG1
Q12986	NFX1
P53971	FAP1
Q14690	PDCD11
Q05022	RRP5
Q9NV06	DCAF13
P33750	SOF1
Q7Z478	DHX29
Q9H2U1	DHX36
Q6P158	DHX57
Q06698	
Q13616	CUL1
Q13617	CUL2
Q12018	CDC53
Q13535	ATR
P38111	MEC1
P36578	RPL4
P10664	RPL4A
P49626	RPL4B
P11177	PDHB
P32473	PDB1
Q969S9	GFM2
P39677	MEF2
Q5T160	RARS2
Q05506	
P38714	MSR1
A8MPP1	DDX11L8
Q92771	DDX12P
Q96FC9	DDX11
P22516	CHL1
O95352	ATG7
P38862	ATG7
O60825	PFKFB2
Q16875	PFKFB3
P16118	PFKFB1
Q16877	PFKFB4
P32604	FBP26
O00743	PPP6C
P20604	SIT4
P00156	MT-CYB
P00163	COB
P49591	SARS
P07284	SES1
Q9P2K8	EIF2AK4
P15442	GCN2
Q7KZ85	SUPT6H
P23615	SPT6
P54577	YARS
P36421	TYS1
P49366	DHPS
P38791	DYS1
Q9Y4E8	USP15
Q13107	USP4
P51784	USP11
P39538	UBP12
P12270	TPR
Q02455	MLP1
P40457	MLP2
Q9NTK5	OLA1
P38219	OLA1
Q9NVU7	SDAD1
P53313	SDA1
Q92889	ERCC4
P06777	RAD1
P22090	RPS4Y1
P62701	RPS4X
Q8TD47	RPS4Y2
C9JQ55	
P0CX36	RPS4B
P0CX35	RPS4A
P04181	OAT
P07991	CAR2
O00487	PSMD14
P43588	RPN11
Q9Y4C8	RBM19
Q06106	MRD1
P52732	KIF11
P28742	KIP1
Q9ULA0	DNPEP
P38821	APE4
Q9P2R7	SUCLA2
P53312	LSC2
Q9BXP2	SLC12A9
P38329	VHC1
P51003	PAPOLA
Q9NRJ5	PAPOLB
Q9BWT3	PAPOLG
P29468	PAP1
P62917	RPL8
P0CX46	RPL2B
P0CX45	RPL2A
O95394	PGM3
P38628	PCM1
Q9BZG8	DPH1
P40487	DPH1
Q96G03	PGM2
Q6PCE3	PGM2L1
Q03262	PRM15
O43766	LIAS
P32875	LIP5
Q92993	KAT5
Q08649	ESA1
Q9Y2R4	DDX52
P45818	ROK1
P78362	SRPK2
Q96SB4	SRPK1
Q9UPE1	SRPK3
Q03656	SKY1
P31948	STIP1
P15705	STI1
P11908	PRPS2
P60891	PRPS1
P21108	PRPS1L1
P38063	PRS4
P38620	PRS2
Q16549	PCSK7
P29122	PCSK6
P13134	KEX2
P49959	MRE11
P32829	MRE11
Q00526	CDK3
P24941	CDK2
P06493	CDK1
P00546	CDC28
O95470	SGPL1
Q05567	DPL1
Q15542	TAF5
P38129	TAF5
P35250	RFC2
P40339	RFC4
P51659	HSD17B4
Q02207	FOX2
Q96S55	WRNIP1
P40151	MGS1
Q96G46	DUS3L
Q06053	DUS3
P21912	SDHB
P21801	SDH2
P53582	METAP1
Q01662	MAP1
Q96ST3	SIN3A
O75182	SIN3B
P22579	SIN3
O60884	DNAJA2
P31689	DNAJA1
Q8WW22	DNAJA4
P25491	YDJ1
O14617	AP3D1
Q08951	APL5
P80404	ABAT
P17649	UGA1
Q96C11	FGGY
Q04585	
O75460	ERN1
Q76MJ5	ERN2
P32361	IRE1
O60524	NEMF
Q12532	RQC2
Q12788	TBL3
Q05946	UTP13
O75439	PMPCB
P31930	UQCRC1
P10507	MAS1
P37287	PIGA
P32363	SPT14
P22557	ALAS2
P13196	ALAS1
P09950	HEM1
P35520	CBS
P32582	CYS4
P37837	TALDO1
P15019	TAL1
P53228	NQM1
P04818	TYMS
P06785	CDC21
O75312	ZPR1
P53303	ZPR1
Q9UBF8	PI4KB
P39104	PIK1
P51795	CLCN5
P51793	CLCN4
P51790	CLCN3
P37020	GEF1
P08559	PDHA1
P29803	PDHA2
P16387	PDA1
Q03701	CEBPZ
Q12176	MAK21
Q8IY18	SMC5
Q08204	SMC5
Q16539	MAPK14
Q15759	MAPK11
P53778	MAPK12
O15264	MAPK13
P32485	HOG1
Q9UBJ2	ABCD2
P33897	ABCD1
P28288	ABCD3
P41909	PXA1
P46199	MTIF2
P25038	IFM1
P32929	CTH
P31373	CYS3
Q8NI60	COQ8A
Q96D53	COQ8B
P27697	COQ8
O00232	PSMD12
Q12250	RPN5
O43660	PLRG1
Q12417	PRP46
P56537	EIF6
Q12522	TIF6
P22059	OSBP
Q969R2	OSBP2
P35845	SWH1
Q12451	OSH2
P10515	DLAT
P12695	LAT1
Q13601	KRR1
P25586	KRR1
P62826	RAN
P32835	GSP1
P32836	GSP2
Q13608	PEX6
P33760	PEX6
P53041	PPP5C
P53043	PPT1
Q9UJ83	HACL1
P39994	
P62258	YWHAE
P34730	BMH2
P29311	BMH1
Q6IA86	ELP2
P42935	ELP2
P49840	GSK3A
P49841	GSK3B
P38615	RIM11
P50873	MRK1
P38935	IGHMBP2
P34243	HCS1
Q9NRW7	VPS45
P38932	VPS45
Q14410	GK2
Q14409	GK3P
P32189	GK
P32190	GUT1
O15213	WDR46
P40055	UTP7
P53384	NUBP1
P52920	NBP35
P06132	UROD
P32347	HEM12
P09110	ACAA1
P27796	POT1
Q96SB8	SMC6
Q12749	SMC6
Q8WVM8	SCFD1
P22213	SLY1
Q9UNQ2	DIMT1
P41819	DIM1
P19623	SRM
Q12074	SPE3
Q9Y6V7	DDX49
P38719	DBP8
P48163	ME1
Q16798	ME3
P23368	ME2
P36013	MAE1
P55884	EIF3B
P06103	PRT1
Q14565	DMC1
P25453	DMC1
P53350	PLK1
Q9H4B4	PLK3
Q9NYY3	PLK2
P32562	CDC5
P22830	FECH
P16622	HEM15
P22694	PRKACB
P17612	PRKACA
P22612	PRKACG
P51817	PRKX
P06245	TPK2
P06244	TPK1
P05986	TPK3
P17174	GOT1
P00505	GOT2
P23542	AAT2
Q8NHQ9	DDX55
P25808	SPB4
Q9BUQ8	DDX23
P23394	PRP28
P24752	ACAT1
P41338	ERG10
Q96PZ0	PUS7
Q08647	PUS7
Q5TBA9	FRY
O94915	FRYL
P40468	TAO3
P53597	SUCLG1
P53598	LSC1
Q9Y6M4	CSNK1G3
P78368	CSNK1G2
Q9HCP0	CSNK1G1
P23292	YCK2
P23291	YCK1
P39962	YCK3
Q16719	KYNU
Q05979	BNA5
Q9NTJ5	SACM1L
P32368	SAC1
P28482	MAPK1
P27361	MAPK3
P16892	FUS3
P14681	KSS1
P53611	RABGGTB
P20133	BET2
P63244	RACK1
P38011	ASC1
P05388	RPLP0
Q8NHW5	RPLP0P6
P05317	RPP0
P13716	ALAD
P05373	HEM2
P36957	DLST
P19262	KGD2
Q14152	EIF3A
P38249	RPG1
Q92611	EDEM1
P38888	MNL1
Q99797	MIPEP
P35999	OCT1
Q14693	LPIN1
Q92539	LPIN2
Q9BQK8	LPIN3
P32567	PAH1
O43747	AP1G1
O75843	AP1G2
Q12028	APL4
Q68CQ4	DIEXF
P40498	UTP25
Q9NRH3	TUBG2
P23258	TUBG1
P53378	TUB4
P50213	IDH3A
P28241	IDH2
Q92538	GBF1
P47102	GEA1
P39993	GEA2
Q15021	NCAPD2
Q06156	YCS4
Q92643	PIGK
P49018	GPI8
Q9BVK2	ALG8
P40351	ALG8
Q9UM11	FZR1
P53197	CDH1
P36551	CPOX
P11353	HEM13
Q13164	MAPK7
Q00772	SLT2
P36005	KDX1
Q16181	SEPTIN7
O43236	SEPTIN4
Q99719	SEPTIN5
Q15019	SEPTIN2
P32457	CDC3
O15457	MSH4
P40965	MSH4
O94906	PRPF6
P19735	PRP6
P27694	RPA1
P22336	RFA1
Q9H583	HEATR1
P42945	UTP10
P30419	NMT1
O60551	NMT2
P14743	NMT1
Q6N069	NAA16
Q9BXJ9	NAA15
P12945	NAT1
P28715	ERCC5
P07276	RAD2
Q8TAT6	NPLOC4
P33755	NPL4
P51553	IDH3G
O43837	IDH3B
P28834	IDH1
Q9HCN4	GPN1
P47122	NPA3
P27487	DPP4
Q12884	FAP
Q8N608	DPP10
P42658	DPP6
P18962	DAP2
P33894	STE13
O00231	PSMD11
Q12377	RPN6
P53602	MVD
P32377	MVD1
P40937	RFC5
P38629	RFC3
Q9NXH9	TRMT1
P15565	TRM1
Q16222	UAP1
Q3KQV9	UAP1L1
P43123	QRI1
Q99873	PRMT1
Q9NR22	PRMT8
P38074	HMT1
P07902	GALT
P08431	GAL7
O95478	NSA2
P40078	NSA2
P21695	GPD1
Q8N335	GPD1L
Q00055	GPD1
P41911	GPD2
P16435	POR
P16603	NCP1
Q504Q3	PAN2
P53010	PAN2
Q2NL82	TSR1
Q07381	TSR1
Q5JTH9	RRP12
Q12754	RRP12
Q9H611	PIF1
P07271	PIF1
Q9Y263	PLAA
P36037	DOA1
P11926	ODC1
Q96A70	AZIN2
O14977	AZIN1
P08432	SPE1
Q9HBY8	SGK2
O00141	SGK1
Q96BR1	SGK3
P18961	YPK2
P12688	YPK1
P35249	RFC4
P40348	RFC2
Q14527	HLTF
P32849	RAD5
Q6QEF8	CORO6
Q9ULV4	CORO1C
Q9BR76	CORO1B
P31146	CORO1A
Q9UQ03	CORO2B
Q92828	CORO2A
Q06440	CRN1
P54687	BCAT1
O15382	BCAT2
P47176	BAT2
P38891	BAT1
P08754	GNAI3
P63096	GNAI1
P04899	GNAI2
P19087	GNAT2
A8MTJ3	GNAT3
P09471	GNAO1
P11488	GNAT1
P19086	GNAZ
O95837	GNA14
P08539	GPA1
Q3LXA3	TKFC
P43550	DAK2
P54838	DAK1
Q92600	CNOT9
P53829	CAF40
P60953	CDC42
P19073	CDC42
P51665	PSMD7
Q08723	RPN8
Q14524	SCN5A
Q9NY46	SCN3A
Q99250	SCN2A
