cluster	bitscore	H.sapiens	S.cerevisiae
339	411	Q969S9	P39677
342	409	O95352	P38862
344	408	O00743	P20604
345	408	P00156	P00163
346	406	P49591	P07284
347	406	Q9P2K8	P15442
348	405	Q7KZ85	P23615
349	404	P54577	P36421
350	404	P49366	P38791
353	402	Q9NTK5	P38219
354	402	Q9NVU7	P53313
355	400	Q92889	P06777
357	399	P04181	P07991
358	399	O00487	P43588
359	399	Q9Y4C8	Q06106
360	398	P52732	P28742
361	398	Q9ULA0	P38821
362	398	Q9P2R7	P53312
363	397	Q9BXP2	P38329
366	394	O95394	P38628
367	394	Q9BZG8	P40487
369	393	O43766	P32875
370	393	Q92993	Q08649
371	392	Q9Y2R4	P45818
373	391	P31948	P15705
376	388	P49959	P32829
378	387	O95470	Q05567
379	387	Q15542	P38129
380	386	P35250	P40339
381	386	P51659	Q02207
382	384	Q96S55	P40151
383	384	Q96G46	Q06053
384	383	P21912	P21801
385	383	P53582	Q01662
388	381	O14617	Q08951
389	380	P80404	P17649
390	380	Q96C11	Q04585
392	379	O60524	Q12532
393	379	Q12788	Q05946
395	378	P37287	P32363
397	375	P35520	P32582
399	374	P04818	P06785
400	374	O75312	P53303
401	374	Q9UBF8	P39104
404	373	Q03701	Q12176
405	373	Q8IY18	Q08204
408	371	P46199	P25038
409	370	P32929	P31373
411	369	O00232	Q12250
412	369	O43660	Q12417
413	369	P56537	Q12522
415	368	P10515	P12695
416	368	Q13601	P25586
418	366	Q13608	P33760
419	366	P53041	P53043
420	366	Q9UJ83	P39994
422	365	Q6IA86	P42935
424	364	P38935	P34243
425	364	Q9NRW7	P38932
427	363	O15213	P40055
428	363	P53384	P52920
429	362	P06132	P32347
430	362	P09110	P27796
431	362	Q96SB8	Q12749
432	361	Q8WVM8	P22213
433	361	Q9UNQ2	P41819
434	360	P19623	Q12074
435	357	Q9Y6V7	P38719
437	356	P55884	P06103
438	356	Q14565	P25453
440	354	P22830	P16622
443	353	Q8NHQ9	P25808
444	353	Q9BUQ8	P23394
445	352	P24752	P41338
446	352	Q96PZ0	Q08647
448	351	P53597	P53598
450	350	Q16719	Q05979
451	350	Q9NTJ5	P32368
453	348	P53611	P20133
454	347	P63244	P38011
456	346	P13716	P05373
457	346	P36957	P19262
458	346	Q14152	P38249
459	346	Q92611	P38888
460	346	Q99797	P35999
463	344	Q68CQ4	P40498
465	343	P50213	P28241
467	342	Q15021	Q06156
468	342	Q92643	P49018
469	342	Q9BVK2	P40351
470	342	Q9UM11	P53197
471	341	P36551	P11353
474	337	O15457	P40965
475	336	O94906	P19735
476	336	P27694	P22336
477	336	Q9H583	P42945
480	334	P28715	P07276
481	334	Q8TAT6	P33755
483	333	Q9HCN4	P47122
485	332	O00231	Q12377
486	332	P53602	P32377
487	332	P40937	P38629
488	332	Q9NXH9	P15565
491	331	P07902	P08431
492	331	O95478	P40078
494	329	P16435	P16603
495	329	Q504Q3	P53010
496	329	Q2NL82	Q07381
497	329	Q5JTH9	Q12754
498	329	Q9H611	P07271
499	329	Q9Y263	P36037
502	327	P35249	P40348
503	327	Q14527	P32849
508	324	Q92600	P53829
509	322	P60953	P19073
510	322	P51665	Q08723
513	319	Q15393	Q04693
514	319	Q9UBT2	P52488
516	318	O95155	P54860
517	318	Q9H2P9	P32469
518	317	Q13867	Q01532
519	315	Q16850	P10614
521	314	P05198	P20459
522	314	P40926	P17505
523	313	Q9UI26	Q02932
524	312	Q7Z7A3	P53088
526	310	Q96GW9	P22438
530	308	O00267	P27692
531	308	Q9UNQ0	P25371
532	307	P55735	Q04491
534	306	O75140	P47170
536	305	O15160	P07703
537	305	P08574	P07143
538	305	P14324	P08524
539	305	Q9BVC4	P41318
541	304	O95363	P08425
542	304	P37268	P29704
543	304	Q13042	P09798
544	304	Q13144	P32501
545	304	Q08AM6	Q06708
546	304	Q05932	Q08645
547	304	Q9Y672	Q12001
549	303	P54886	P54885
550	303	Q9H3H5	P07286
551	302	P23396	P05750
552	302	Q13347	P40217
553	302	Q6PI48	P15179
554	302	Q9GZR7	P38112
555	302	Q9Y3T9	P39744
556	302	Q9Y2T3	Q07729
561	301	P35232	P40961
562	300	Q13724	P53008
563	300	Q9H8H2	P36120
564	300	Q9UKM7	P32906
567	299	P46777	P26321
568	299	P49915	P38625
572	297	Q08945	Q04636
573	297	Q9H501	Q06344
574	296	Q6PJI9	Q03897
575	296	Q8TEQ8	Q07830
580	295	O43681	Q12154
581	295	Q8IYB8	P32580
582	295	Q9NWZ5	P27515
584	294	Q14534	P32476
585	294	Q08752	P53691
586	294	Q5H8A4	P40367
587	294	Q86WU2	P32891
588	294	Q9BVS4	P40160
589	293	Q9BRS2	Q12196
592	292	O76031	P38323
593	292	Q13895	P38333
594	292	Q9BW19	P17119
595	292	Q99623	P50085
596	292	Q9Y5Y2	P40558
600	291	O75191	P42826
601	291	Q9UBP6	Q12009
605	290	Q6P1R4	P53759
606	290	Q9NWU1	P39525
607	289	Q86YJ6	P16120
608	289	Q7Z695	Q02981
610	288	P49643	P20457
611	288	P40938	P38251
612	288	Q96I59	P25345
615	286	Q5JPH6	P48525
618	285	P15880	P25443
619	285	P49917	Q08387
623	284	O60508	P40968
624	284	O95396	P38820
625	284	P50613	P06242
626	284	P34949	P29952
627	284	P78406	P40066
628	284	P13804	Q12480
629	284	Q96G21	P53941
632	283	Q14191	P35187
635	282	O00400	P38318
636	282	P30260	P38042
637	282	Q10713	P11914
638	282	Q92759	Q02939
639	282	Q9H3S5	P47088
643	280	Q00325	P40035
644	280	Q8NBU5	P28737
645	280	Q9NQH7	P40051
648	278	Q10570	Q06632
649	278	Q9UG56	P39006
650	277	Q9HB07	P40093
653	276	Q01780	Q12149
654	276	Q2TAA5	P53954
655	276	Q9NXC5	P38164
656	276	Q9H553	P43636
657	275	O15229	P38169
658	275	P28066	P32379
659	274	O75845	P32353
661	273	P08240	P32916
662	273	P46782	P26783
663	273	Q7KZN9	P40086
664	272	P55010	P38431
665	272	Q92994	P29056
666	271	Q9Y617	P33330
668	270	Q5U5R9	P40985
669	270	Q9H720	P25618
670	270	Q9H6U8	P53868
672	269	P60174	P00942
673	269	Q15008	Q06103
674	269	Q9BV20	Q06489
675	269	Q9NQR4	P49954
677	268	P23786	P80235
681	267	Q13112	Q04199
682	267	Q9BXY0	P10962
683	267	Q8TDN6	Q08235
687	266	O15269	P25045
688	266	Q9UHB4	Q12181
691	265	P00491	Q05788
693	264	P60900	P21243
694	264	Q9HCS7	Q04048
696	263	O43242	P40016
697	263	P25789	P23638
698	262	O75844	P47154
699	262	P54819	P07170
700	262	Q969Y2	P32559
703	261	O94822	Q04781
704	260	P00414	P00420
705	260	Q5F1R6	P53863
706	260	Q7Z4G4	Q12463
707	260	Q9BQ67	Q04225
708	259	P48728	P48015
709	258	Q99613	P32497
710	257	Q7L3T8	P39965
711	257	Q9UBZ9	P12689
713	256	O75083	P46680
714	256	Q15637	Q12186
715	256	Q8TEX9	P40069
716	256	Q96AT9	P46969
717	256	Q9UJX2	P16522
721	255	P25788	P21242
722	255	Q9BT22	P16661
723	255	Q8TBC4	Q99344
724	255	Q9UK59	P24309
725	255	Q9H9Y4	Q08726
726	255	Q9Y2Z4	P48527
727	254	Q7Z569	P38748
728	254	Q9UHW5	Q06543
732	253	O43172	P20053
733	253	P62979	P05759
734	253	Q13610	P21304
735	253	Q15435	P36047
736	253	Q9BZE2	P31115
737	253	Q9Y282	P39727
739	252	P49754	P38959
740	252	P48637	Q08220
743	251	P25787	P23639
744	251	O76071	Q05583
746	249	O14744	P38274
747	249	P49642	P10363
752	248	O43709	P25627
753	248	P30793	P51601
754	248	Q9BRX2	P33309
755	248	Q9UGM6	P04803
756	248	Q9HCG8	P53333
757	247	O75153	Q03690
758	247	Q8TED0	Q04305
761	245	P62277	P05756
762	245	P51149	P32939
763	245	P54578	P43593
764	245	Q9Y324	Q05498
766	243	P00480	P05150
767	243	Q8WV93	P32317
768	243	Q8WU90	Q12000
769	243	Q9H9Y2	P38805
772	242	P25786	P40302
773	242	P50750	Q03957
775	241	P40616	P38116
776	241	Q96H96	P32378
777	241	Q9Y606	Q12211
780	240	Q9H270	P12868
782	239	P62166	Q06389
783	239	Q6PD62	P89105
786	238	Q15274	P43619
787	238	Q9BU89	P47120
788	238	Q9NRX1	Q99216
789	237	P52948	P49687
790	237	Q6R327	P40061
791	237	Q99543	P32527
792	237	Q9H7B2	P36160
793	236	P55263	P47143
795	235	Q06203	P04046
796	235	O95202	Q08179
797	235	P48444	P43621
798	235	Q9GZT4	P36007
799	235	Q8WTT2	Q07896
802	234	Q32P41	P38793
804	233	P08397	P28789
805	233	P47756	P13517
806	233	P22570	P48360
807	233	Q32NB8	P25578
808	233	Q5T2R2	P18900
809	233	Q9H6R4	P53254
810	233	Q9Y5K8	P32610
816	232	Q70HW3	P38921
817	232	Q969H0	P39014
819	231	Q9NWX6	P53215
820	230	O15355	P39966
821	230	P49720	P25451
822	230	P12955	P43590
823	230	Q9Y2Z9	P53318
825	229	Q9H0R6	Q03557
828	228	Q8TD22	Q12029
834	227	O95628	P34909
835	227	P13051	P12887
836	227	Q92979	Q06287
843	226	P19387	P16370
844	226	Q92685	P38179
848	225	Q8N1F7	P34077
849	225	Q969N2	P38875
850	225	Q9BVI4	Q06512
852	224	P38117	P42940
853	224	P55036	P38886
857	223	O00566	P47083
858	223	O43683	P41695
859	223	O95620	Q06063
860	223	Q14232	P14741
861	223	Q9H3H1	P07884
870	222	Q9BV10	P53730
872	221	Q6P1X5	P23255
873	221	Q9NW13	P37838
874	220	O95749	Q12051
875	220	Q5HYK3	P49017
876	220	Q8TBB5	Q08979
877	220	Q9UI10	P12754
878	220	Q9Y221	Q08962
881	219	P78316	Q99207
884	218	P51955	P22209
886	217	Q15738	P53199
887	217	Q8NBF6	Q12500
893	215	Q5C9Z4	Q06132
894	215	Q9Y673	P40350
895	215	Q9Y5B0	Q03254
899	213	P27449	P25515
908	211	Q13868	P38792
909	211	Q9HAU5	P38798
910	211	Q9UJK0	Q12094
914	210	P60604	Q02159
915	210	Q92521	P30777
916	210	Q96EE3	P53011
917	209	Q9BY44	P53235
918	209	Q9UBH6	P40528
922	208	Q00341	P06105
923	208	P49005	P46957
927	207	O43818	Q06506
928	207	P49848	P53040
929	207	Q15257	P40454
930	207	Q96T76	P40469
932	206	Q13286	P47040
933	206	Q06265	Q05636
935	205	P53007	P38152
936	205	P49247	Q12189
937	205	Q15800	P53045
938	205	Q9H4K7	P38860
939	205	Q9Y6N1	P19516
941	204	P10768	P40363
942	204	P63279	P50623
944	203	O75879	P33893
945	203	P16260	P38702
946	203	P62256	P28263
947	203	Q12887	P21592
948	203	Q92890	P53044
953	202	O00311	P06243
954	202	P20618	P23724
955	202	Q7Z3U7	P48563
960	201	P00403	P00410
961	201	O43633	P36108
962	201	O75478	Q02336
963	201	Q9NV31	P32899
965	200	P12004	P15873
966	200	Q53GS9	P43589
967	200	Q7Z7B1	P47026
968	200	Q8WTW4	P39923
972	199	P20042	P09064
973	199	P30041	P34227
974	199	Q8N5Z0	P53090
976	198	Q58A45	P36102
980	197	Q6P3X3	P42842
981	197	Q86X76	P47016
984	196	Q8IW45	P36059
985	196	Q9UHC1	Q12083
988	195	P46776	P02406
989	195	P28070	P30657
990	195	Q8N2K1	P33296
991	195	Q9UNM6	Q04062
993	194	P62805	P02309
994	194	Q9Y316	P47085
1002	193	P36542	P38077
1003	193	Q9NY12	P28007
1004	193	Q9Y5L0	Q99189
1007	192	P83876	Q06819
1008	192	Q8N8A6	P53734
1009	192	Q9NX74	P53720
1013	191	O15498	P36015
1014	191	P30085	P15700
1015	191	Q03426	P07277
1016	191	Q96GX9	P47095
1017	191	Q9H490	P41733
1020	190	Q9H981	Q12386
1023	189	O15258	P25560
1024	189	P04179	P00447
1025	189	Q9H993	Q04371
1028	188	P61962	Q12523
1029	188	Q5MNZ6	P50079
1030	188	Q96EY1	P35191
1031	188	Q9BQ52	P36159
1032	188	Q9UBX3	Q06143
1033	188	Q9Y3A5	Q07953
1035	187	Q15645	P38126
1036	187	Q6NVY1	P28817
1037	187	Q9BV79	P38071
1039	186	Q6PGP7	P17883
1040	186	Q15397	Q04373
1041	186	Q86SQ9	P35196
1042	186	Q96BW1	P18562
1043	186	Q9BPX3	Q06680
1044	186	Q9BVL4	Q08968
1046	185	O60725	P32584
1047	185	Q6P3W7	P53009
1048	185	Q8NI27	P53552
1049	185	Q9UBE0	Q06624
1050	184	O14757	P38147
1051	184	Q16774	P15454
1052	184	Q13795	Q02804
1053	184	Q6IQ20	Q02883
1056	183	O15182	P06704
1057	183	O15527	P53397
1058	183	O75794	Q05791
1059	183	Q6BCY4	P38626
1060	183	Q9NUI1	P32573
1061	183	Q9Y5Q9	P33339
1062	183	Q9P272	P49957
1065	182	P49721	P22141
1066	182	P55769	P39990
1067	182	Q8WUM4	Q12033
1068	182	Q9UHA3	Q07915
1071	181	O00764	P39988
1072	181	P19388	P20434
1073	181	P62750	P04456
1074	181	O75792	P53942
1075	181	Q14249	P08466
1076	181	Q00403	P29055
1077	181	Q08AI6	P39981
1078	181	Q96FX7	P46959
1081	180	Q7L5A8	Q03529
1082	180	Q99447	P33412
1083	180	Q9Y5J1	P40362
1088	178	Q6PI26	P40486
1089	178	Q9P253	P27801
1090	178	Q9HAB8	P40506
1091	178	Q9GZN1	Q12509
1092	177	Q8N9T8	P42846
1094	176	Q8WVB6	P49956
1099	175	O43592	P33418
1100	175	P62841	Q01855
1101	174	Q6UXN9	P36104
1102	174	Q9Y535	P35718
1107	173	P00441	P00445
1108	173	O75716	Q12003
1109	173	Q9NT62	P40344
1110	173	Q9GZL7	Q12024
1114	172	P17707	P21182
1115	172	Q8N6M5	P25335
1119	171	P63208	P52286
1120	171	Q8WWY3	P49704
1121	171	Q9H269	Q03308
1123	170	Q14677	P47160
1124	170	Q8N4J0	P53934
1125	170	Q96JB2	P40094
1126	170	Q969X6	Q06679
1127	170	Q9GZT8	P53081
1132	169	P41223	P25337
1133	169	P04843	P41543
1134	169	P49770	P32502
1135	169	P56282	P24482
1136	169	P36915	P53145
1137	169	Q6NXT6	P40085
1138	169	Q9UKD2	P33201
1139	169	Q9NP77	P53538
1141	168	O00471	Q06245
1142	168	O75648	Q12093
1143	168	Q14694	Q01477
1144	168	Q9BTE6	P53960
1145	168	Q9ULC4	P89886
1151	166	O15144	P53731
1152	166	O15145	Q05933
1153	166	O43772	Q12289
1154	166	Q9HC07	P38301
1155	166	Q9Y484	P43601
1161	165	O00628	P39108
1162	165	O75419	Q08032
1163	165	Q9UBM1	P05375
1165	164	P50747	P48445
1166	164	Q969S0	P40004
1170	163	P46060	P11745
1174	162	O00762	P52492
1176	161	O43292	P39012
1177	161	Q4G176	P38137
1178	161	Q9Y3A0	O13525
1179	161	Q96NY9	Q04149
1183	160	P61086	P21734
1184	160	P43487	P41920
1185	160	Q15070	P39952
1188	159	O43159	P38961
1189	159	Q12874	P19736
1190	159	P62910	P38061
1193	158	Q53HI1	P36125
1195	157	Q99807	P41735
1196	157	Q8TBZ6	Q12400
1197	157	Q9UBQ0	P38759
1201	156	Q96H20	Q12483
1202	156	Q9NYA1	Q06147
1203	156	Q9NUP7	Q12383
1204	155	O95260	P16639
1205	155	P18754	P21827
1206	155	O15260	P53337
1207	155	Q7L211	P42840
1208	155	Q96AA3	P38206
1211	154	Q01831	P14736
1212	154	Q13257	P40958
1213	154	Q92504	P40544
1214	154	Q92541	P53064
1219	153	P23919	P00572
1220	153	Q14181	P38121
1221	153	P61081	P52491
1226	152	O75663	Q12199
1227	152	Q13190	Q01590
1228	152	Q6P587	P53889
1230	151	O75396	P22214
1231	151	P62877	Q08273
1232	151	Q3ZCQ8	Q02776
1235	150	Q15291	P39706
1239	149	O43615	Q01852
1241	148	O00519	P22580
1242	148	O60337	P40318
1243	148	P43034	P39946
1244	148	P62487	P34087
1245	148	Q14978	P32583
1246	148	Q8WVC0	P38439
1248	147	O14735	P06197
1249	147	P61599	Q06504
1250	147	Q9NRA0	Q12246
1257	146	O94903	P38197
1258	146	P37198	P14907
1259	146	Q9Y3B8	P54964
1264	145	O43148	P32783
1265	145	Q8TCT9	P34248
1266	145	Q8N5U6	Q06436
1267	145	Q8WVE0	P53200
1268	145	Q96BW9	P53230
1273	144	O75821	Q04067
1274	144	Q15526	P53266
1275	144	Q8WWH5	P48567
1276	144	Q96P70	P53067
1277	144	Q9UPQ8	P20048
1278	144	Q9NPD3	P46948
1279	143	P49354	P29703
1280	143	Q13889	Q12004
1281	143	Q99741	P09119
1282	143	Q969K4	P40560
1283	143	Q9H7D7	P25569
1284	143	Q9UGP8	P14906
1285	143	Q9NYV6	P36070
1286	143	Q9BV57	Q03677
1287	143	Q9UBZ4	P38207
1288	143	Q9H8Y5	Q04311
1289	143	Q9UNI6	Q02256
1291	142	P09001	P31334
1292	142	O43395	Q03338
1293	142	P51948	Q03290
1294	142	P42696	Q08208
1295	142	Q8NFV4	P53219
1296	142	Q9UBQ7	P53839
1301	141	Q13526	P22696
1302	141	Q5VVQ6	P43558
1303	141	Q5VIR6	P47061
1304	141	Q9Y570	P38796
1305	141	Q9UKK9	Q01976
1307	140	P14314	Q04924
1308	140	Q8N6T3	P35197
1309	140	Q9BQG2	P53164
1313	139	Q13416	P32833
1314	139	Q15813	P39937
1315	139	Q9HAV4	P52918
1316	139	Q9Y3D0	P38829
1321	138	Q86VD9	Q04174
1322	138	Q9NX24	P32495
1323	138	Q9UMS0	P32860
1324	138	Q9P2I0	Q12102
1329	137	Q8WVC6	Q03941
1330	137	Q96DW6	Q07534
1331	137	Q9Y234	P47051
1332	137	Q9NNW5	Q08924
1336	136	P25208	P13434
1337	136	O95619	P53930
1338	136	P53680	Q00381
1339	135	P53701	P06182
1340	135	Q9NWS8	Q05648
1342	134	P61218	P20435
1343	134	O60294	Q08282
1344	134	P54198	P32480
1345	134	Q15003	P38170
1346	134	Q7RTV0	Q06835
1347	134	Q8TEA8	Q07648
1351	133	P60866	P38701
1355	132	Q7L5Y9	P40492
1360	131	O15403	P36032
1361	131	O94888	Q06682
1362	131	Q6UWH6	P38869
1363	131	Q8N766	P25574
1364	131	Q9NWT1	P20484
1368	130	Q9P0I2	P36039
1372	129	P62888	P14120
1373	129	P49755	P54837
1374	129	Q96FM1	P25625
1379	128	O60906	P40015
1380	128	P24863	P47821
1381	128	Q8N159	Q01217
1382	128	Q8TAF3	Q99247
1383	128	Q9BY32	P47119
1384	128	Q9NQQ7	Q03697
1387	127	P00846	P00854
1388	127	P29083	P36100
1389	127	P61758	P48363
1390	127	Q86WR0	P40206
1391	127	Q9Y3E5	P34222
1394	126	O43929	P54791
1395	126	P55789	P27882
1396	126	O14929	Q12341
1397	126	P46952	P47096
1398	126	P41214	Q04600
1399	126	P62316	Q06217
1400	126	Q9Y3A2	P34247
1403	125	P26885	P32472
1404	125	P24666	P40347
1405	125	Q6J4K2	Q12424
1406	125	Q96E52	P36163
1407	125	Q9HC21	P53257
1410	124	O60869	O14467
1411	124	Q69YN2	P53255
1412	124	Q9BW85	P28320
1413	124	Q96HR8	P53919
1414	124	Q9UHY7	P32626
1415	124	Q96S15	Q08281
1419	123	O00233	P40555
1420	123	O14874	P40530
1421	123	P39656	P33767
1422	123	P48556	P32496
1423	123	Q9Y333	P38203
1426	122	Q9BXW7	P36151
1427	122	Q9UJA5	P41814
1432	121	P48047	P09457
1433	121	Q96S44	P53323
1434	121	Q96KG9	Q12453
1435	121	Q9NWL6	Q04489
1437	120	Q0GE19	Q05131
1438	120	Q15061	Q04177
1439	120	Q7Z6V5	P47058
1447	119	O14777	P40460
1448	119	P82094	P47166
1449	119	Q14997	P43583
1450	119	Q8NI37	P38797
1451	119	Q9UNS1	P53840
1452	119	Q9Y3B7	P53875
1460	118	P25398	P48589
1461	118	Q5T653	P32611
1465	117	P51946	P37366
1466	117	Q9BQC3	P32461
1467	117	Q9H1D9	P32910
1468	117	Q9NQT5	Q08285
1469	117	Q9UK41	Q02767
1470	117	Q9UIC8	Q04081
1475	116	O43542	P25301
1476	116	Q13573	P28004
1477	116	Q86SX6	Q02784
1478	116	Q9BVG4	Q08971
1479	116	Q9UBS8	Q04638
1483	115	Q9UJX6	Q12440
1488	114	O75832	P50086
1489	114	Q9BQ83	P38324
1490	114	Q9HCE5	P25583
1491	114	Q9P2X3	P25637
1497	113	P36954	P27999
1498	113	P23434	P39726
1499	113	P08621	Q00916
1500	113	Q16864	P39111
1501	113	Q6UWP2	Q05016
1502	113	Q96T52	P46972
1503	113	Q9NZZ3	Q03390
1504	113	Q9ULX3	Q08444
1505	113	Q9Y2Z0	Q08446
1508	112	O60762	P14020
1509	112	O15235	P53732
1510	112	Q9Y2S0	P28000
1511	112	Q9NY61	Q06631
1512	112	Q9Y6H3	P53722
1516	111	P50336	P40012
1517	111	Q6DCA0	Q12012
1518	111	Q9H477	P25332
1519	111	Q8TBK2	Q12504
1520	111	Q9BRU9	Q12339
1525	110	O14746	Q06163
1526	110	Q9NZJ6	P27680
1527	110	Q9Y2Y1	Q04307
1533	109	O75486	P06844
1534	109	Q9BQG0	P39985
1535	109	Q99471	Q04493
1536	109	Q9H967	Q12510
1537	109	Q9Y5N5	Q03920
1540	108	O75717	Q01454
1541	108	P00813	P53909
1542	108	P62875	P22139
1543	108	Q9H1K0	P32609
1544	108	Q9BRP4	P53196
1545	108	Q9H300	P53259
1546	108	Q9Y3E7	P36095
1547	108	Q9ULW3	P53743
1548	107	Q8IWW8	P10127
1549	107	Q99816	P25604
1550	107	Q9NS91	P10862
1551	107	Q9UJ68	P40029
1552	107	Q9NXR8	P50947
1556	106	P53990	P53843
1559	105	Q96AJ9	Q04338
1560	105	Q9H063	P41910
1564	104	O60683	Q05568
1565	104	P52815	P53163
1566	104	Q01658	Q92317
1567	104	Q8N1B4	P39904
1568	104	Q92968	P80667
1569	104	Q9UMS4	P32523
