cluster	protein1	protein2	overall_score	total_align_length	total_gap_length	total_perfect_align	total_nonperfect_align	n_gaps	bitscore	H.sapiens_ProteinID	S.cerevisiae_ProteinID	H.sapiens_GeneID	S.cerevisiae_GeneID	H.sapiens_structure	S.cerevisiae_structure	name	length	secondaryIdentifier	primaryIdentifier	hyperlink	any_structure	auxotrophic	non_respiratory	non_carbon_using
860	Q14232	P14741	0.413114754098	301	8	126	175	4	223	Q14232	P14741	EIF2B1	GCN3	TRUE	TRUE	General Control Nonderepressible	918	YKR026C	S000001734	https://www.yeastgenome.org/locus/S000001734	TRUE	TRUE	FALSE	FALSE
746	O14744	P38274	0.287519747235	611	242	182	429	22	249	O14744	P38274	PRMT5	HSL7	TRUE	FALSE	Histone Synthetic Lethal	2484	YBR133C	S000000337	https://www.yeastgenome.org/locus/S000000337	TRUE	TRUE	FALSE	FALSE
1029	Q5MNZ6	P50079	0.344729344729	338	116	121	217	13	188	Q5MNZ6	P50079	WDR45B	HSV2	TRUE	FALSE	Homologous with SVP1	1347	YGR223C	S000003455	https://www.yeastgenome.org/locus/S000003455	TRUE	TRUE	FALSE	FALSE
217	Q9NPH2	P11986	0.508704061896	509	73	263	246	8	517	Q9NPH2	P11986	ISYNA1	INO1	FALSE	TRUE	INOsitol requiring	1602	YJL153C	S000003689	https://www.yeastgenome.org/locus/S000003689	TRUE	TRUE	FALSE	FALSE
64	Q9ULG1	P53115	0.392772977219	1225	595	500	725	48	806	Q9ULG1	P53115	INO80	INO80	TRUE	TRUE	INOsitol requiring	4470	YGL150C	S000003118	https://www.yeastgenome.org/locus/S000003118	TRUE	TRUE	FALSE	TRUE
1246	Q8WVC0	P38439	0.274336283186	431	268	124	307	21	148	Q8WVC0	P38439	LEO1	LEO1	TRUE	FALSE	LEft Open reading frame	1395	YOR123C	S000005649	https://www.yeastgenome.org/locus/S000005649	TRUE	TRUE	FALSE	FALSE
1949	O43715	O60200	0.358974358974	75	12	28	47	3	57	O43715	O60200	TRIAP1	MDM35	TRUE	TRUE	Mitochondrial Distribution and Morphology	261	YKL053C-A	S000007243	https://www.yeastgenome.org/locus/S000007243	TRUE	TRUE	FALSE	FALSE
106	P43246	P25847	0.418378378378	909	80	387	522	16	680	P43246	P25847	MSH2	MSH2	TRUE	FALSE	MutS Homolog	2895	YOL090W	S000005450	https://www.yeastgenome.org/locus/S000005450	TRUE	TRUE	FALSE	FALSE
1315	Q9HAV4	P52918	0.196443691787	1130	168	232	898	51	139	Q9HAV4	P52918	XPO5	MSN5	TRUE	FALSE	Multicopy suppressor of SNf1 mutation	3675	YDR335W	S000002743	https://www.yeastgenome.org/locus/S000002743	TRUE	TRUE	FALSE	FALSE
1762	Q8N7H5	P38351	0.23488372093	408	160	101	307	22	80	Q8N7H5	P38351	PAF1	PAF1	TRUE	TRUE	RNA Polymerase II Associated Factor	1338	YBR279W	S000000483	https://www.yeastgenome.org/locus/S000000483	TRUE	TRUE	FALSE	FALSE
338	P11177	P32473	0.567123287671	358	9	207	151	7	411	P11177	P32473	PDHB	PDB1	TRUE	FALSE	Pyruvate Dehydrogenase Beta subunit	1101	YBR221C	S000000425	https://www.yeastgenome.org/locus/S000000425	TRUE	TRUE	FALSE	FALSE
401	Q9UBF8	P39104	0.337482710927	695	492	244	451	28	374	Q9UBF8	P39104	PI4KB	PIK1	TRUE	TRUE	Phosphatidyl Inositol Kinase	3201	YNL267W	S000005211	https://www.yeastgenome.org/locus/S000005211	TRUE	TRUE	FALSE	FALSE
697	P25789	P23638	0.5	255	9	130	125	5	263	P25789	P23638	PSMA4	PRE9	TRUE	TRUE	PRoteinase yscE	777	YGR135W	S000003367	https://www.yeastgenome.org/locus/S000003367	TRUE	TRUE	FALSE	FALSE
268	Q06609	P25454	0.661807580175	339	61	227	112	4	463	Q06609	P25454	RAD51	RAD51	TRUE	TRUE	RADiation sensitive	1203	YER095W	S000000897	https://www.yeastgenome.org/locus/S000000897	TRUE	TRUE	FALSE	FALSE
703	O94822	Q04781	0.232450331126	1439	450	351	1088	71	261	O94822	Q04781	LTN1	RKR1	TRUE	TRUE	RING domain mutant Killed by Rtf1 deletion	4689	YMR247C	S000004861	https://www.yeastgenome.org/locus/S000004861	TRUE	TRUE	FALSE	FALSE
1497	P36954	P27999	0.431034482759	112	23	50	62	4	113	P36954	P27999	POLR2I	RPB9	TRUE	TRUE	RNA Polymerase B	369	YGL070C	S000003038	https://www.yeastgenome.org/locus/S000003038	TRUE	TRUE	TRUE	FALSE
716	Q96AT9	P46969	0.550218340611	227	12	126	101	2	256	Q96AT9	P46969	RPE	RPE1	TRUE	FALSE	Ribulose 5-Phosphate Epimerase	717	YJL121C	S000003657	https://www.yeastgenome.org/locus/S000003657	TRUE	TRUE	TRUE	TRUE
929	Q15257	P40454	0.373456790123	315	121	121	194	9	207	Q15257	P40454	PTPA	RRD1	TRUE	TRUE	Resistant to Rapamycin Deletion	1182	YIL153W	S000001415	https://www.yeastgenome.org/locus/S000001415	TRUE	TRUE	FALSE	FALSE
1214	Q92541	P53064	0.246350364964	525	218	135	390	23	154	Q92541	P53064	RTF1	RTF1	TRUE	TRUE	Restores TBP Function	1677	YGL244W	S000003213	https://www.yeastgenome.org/locus/S000003213	TRUE	TRUE	TRUE	FALSE
451	Q9NTJ5	P32368	0.354452054795	572	66	207	365	12	350	Q9NTJ5	P32368	SACM1L	SAC1	FALSE	TRUE	Suppressor of ACtin	1872	YKL212W	S000001695	https://www.yeastgenome.org/locus/S000001695	TRUE	TRUE	TRUE	FALSE
1081	Q7L5A8	Q03529	0.31693989071	351	54	116	235	15	180	Q7L5A8	Q03529	FA2H	SCS7	FALSE	TRUE	Suppressor of Ca2+ Sensitivity	1155	YMR272C	S000004885	https://www.yeastgenome.org/locus/S000004885	TRUE	TRUE	FALSE	FALSE
1230	O75396	P22214	0.356807511737	207	15	76	131	6	151	O75396	P22214	SEC22B	SEC22	TRUE	FALSE	SECretory	645	YLR268W	S000004258	https://www.yeastgenome.org/locus/S000004258	TRUE	TRUE	FALSE	FALSE
632	Q14191	P35187	0.261923377639	1225	429	335	890	54	283	Q14191	P35187	WRN	SGS1	TRUE	TRUE	Slow Growth Suppressor	4344	YMR190C	S000004802	https://www.yeastgenome.org/locus/S000004802	TRUE	TRUE	FALSE	FALSE
1114	P17707	P21182	0.316568047337	328	74	107	221	10	172	P17707	P21182	AMD1	SPE2	TRUE	FALSE	SPErmidine auxotroph	1191	YOL052C	S000005412	https://www.yeastgenome.org/locus/S000005412	TRUE	TRUE	FALSE	FALSE
1707	P63272	P32914	0.4	102	15	42	60	3	88	P63272	P32914	SUPT4H1	SPT4	TRUE	TRUE	SuPpressor of Ty's	309	YGR063C	S000003295	https://www.yeastgenome.org/locus/S000003295	TRUE	TRUE	FALSE	FALSE
1235	Q15291	P39706	0.287769784173	400	164	120	280	17	150	Q15291	P39706	RBBP5	SWD1	TRUE	TRUE	Set1c, WD40 repeat protein	1281	YAR003W	S000000064	https://www.yeastgenome.org/locus/S000000064	TRUE	TRUE	FALSE	FALSE
1145	Q9ULC4	P89886	0.461538461538	178	6	84	94	4	168	Q9ULC4	P89886	MCTS1	TMA20	TRUE	FALSE	Translation Machinery Associated	649	YER007C-A	S000002957	https://www.yeastgenome.org/locus/S000002957	TRUE	TRUE	FALSE	FALSE
1196	Q8TBZ6	Q12400	0.302816901408	278	76	86	192	6	157	Q8TBZ6	Q12400	TRMT10A	TRM10	TRUE	TRUE	Transfer RNA Methyltransferase	882	YOL093W	S000005453	https://www.yeastgenome.org/locus/S000005453	TRUE	TRUE	FALSE	FALSE
601	Q9UBP6	Q12009	0.56640625	252	58	145	107	4	291	Q9UBP6	Q12009	METTL1	TRM8	TRUE	TRUE	Transfer RNA Methyltransferase	861	YDL201W	S000002360	https://www.yeastgenome.org/locus/S000002360	TRUE	TRUE	FALSE	FALSE
624	O95396	P38820	0.383561643836	426	48	168	258	12	284	O95396	P38820	MOCS3	UBA4	TRUE	FALSE	UBiquitin-Activating	1323	YHR111W	S000001153	https://www.yeastgenome.org/locus/S000001153	TRUE	TRUE	FALSE	FALSE
97	P0CG48	P0CG63	0.953002610966	381	304	365	16	2	711	P0CG48	P0CG63	UBC	UBI4	TRUE	TRUE	Ubiquitin	1146	YLL039C	S000003962	https://www.yeastgenome.org/locus/S000003962	TRUE	TRUE	TRUE	FALSE
264	Q93009	P50101	0.31914893617	1044	244	345	699	37	466	Q93009	P50101	USP7	UBP15	TRUE	FALSE	UBiquitin-specific Protease	3693	YMR304W	S000004920	https://www.yeastgenome.org/locus/S000004920	TRUE	TRUE	FALSE	FALSE
763	P54578	P43593	0.327695560254	460	73	155	305	13	245	P54578	P43593	USP14	UBP6	TRUE	TRUE	UBiquitin-specific Protease	1500	YFR010W	S000001906	https://www.yeastgenome.org/locus/S000001906	TRUE	TRUE	FALSE	FALSE
516	O95155	P54860	0.285092491839	890	483	262	628	29	318	O95155	P54860	UBE4B	UFD2	TRUE	TRUE	Ubiquitin Fusion Degradation	2886	YDL190C	S000002349	https://www.yeastgenome.org/locus/S000002349	TRUE	TRUE	FALSE	FALSE
899	P27449	P25515	0.683870967742	153	9	106	47	2	213	P27449	P25515	ATP6V0C	VMA3	FALSE	TRUE	Vacuolar Membrane Atpase	483	YEL027W	S000000753	https://www.yeastgenome.org/locus/S000000753	TRUE	TRUE	TRUE	FALSE
1500	Q16864	P39111	0.512605042017	115	7	61	54	4	113	Q16864	P39111	ATP6V1F	VMA7	FALSE	TRUE	Vacuolar Membrane Atpase	357	YGR020C	S000003252	https://www.yeastgenome.org/locus/S000003252	TRUE	TRUE	TRUE	FALSE
810	Q9Y5K8	P32610	0.496	245	13	124	121	5	233	Q9Y5K8	P32610	ATP6V1D	VMA8	FALSE	TRUE	Vacuolar Membrane Atpase	771	YEL051W	S000000777	https://www.yeastgenome.org/locus/S000000777	TRUE	TRUE	TRUE	FALSE
1288	Q9H8Y5	Q04311	0.266086956522	548	262	153	395	27	143	Q9H8Y5	Q04311	ANKZF1	VMS1	FALSE	TRUE	VCP/Cdc48-associated Mitochondrial Stress-responsive	1899	YDR049W	S000002456	https://www.yeastgenome.org/locus/S000002456	TRUE	TRUE	FALSE	FALSE
1469	Q9UK41	Q02767	0.301801801802	214	35	67	147	8	117	Q9UK41	Q02767	VPS28	VPS28	FALSE	TRUE	Vacuolar Protein Sorting	729	YPL065W	S000005986	https://www.yeastgenome.org/locus/S000005986	TRUE	TRUE	FALSE	FALSE
1503	Q9NZZ3	Q03390	0.305555555556	211	26	66	145	5	113	Q9NZZ3	Q03390	CHMP5	VPS60	TRUE	TRUE	Vacuolar Protein Sorting	690	YDR486C	S000002894	https://www.yeastgenome.org/locus/S000002894	TRUE	TRUE	FALSE	FALSE
