"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"ADA2" "MATCH" "1" "ADA2" "S. cerevisiae" "transcriptional ADAptor" "1305" "YDR448W" "S000002856" "ORF"
"COQ9" "MATCH" "1" "COQ9" "S. cerevisiae" "COenzyme Q" "783" "YLR201C" "S000004191" "ORF"
"SNF8" "MATCH" "1" "SNF8" "S. cerevisiae" "Sucrose NonFermenting" "702" "YPL002C" "S000005923" "ORF"
"INO80" "MATCH" "1" "INO80" "S. cerevisiae" "INOsitol requiring" "4470" "YGL150C" "S000003118" "ORF"
"RPE1" "MATCH" "1" "RPE1" "S. cerevisiae" "Ribulose 5-Phosphate Epimerase" "717" "YJL121C" "S000003657" "ORF"
"MRPL23" "MATCH" "1" "MRPL23" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "492" "YOR150W" "S000005676" "ORF"
"COQ5" "MATCH" "1" "COQ5" "S. cerevisiae" "COenzyme Q" "924" "YML110C" "S000004578" "ORF"
"ADE5,7" "MATCH" "1" "ADE5,7" "S. cerevisiae" "ADEnine requiring" "2409" "YGL234W" "S000003203" "ORF"
"UBA3" "MATCH" "1" "UBA3" "S. cerevisiae" "UBiquitin-like protein-Activating enzyme" "900" "YPR066W" "S000006270" "ORF"
"PAF1" "MATCH" "1" "PAF1" "S. cerevisiae" "RNA Polymerase II Associated Factor" "1338" "YBR279W" "S000000483" "ORF"
"NIT2" "MATCH" "1" "NIT2" "S. cerevisiae" "NITrilase superfamily" "924" "YJL126W" "S000003662" "ORF"
"BNA6" "MATCH" "1" "BNA6" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "888" "YFR047C" "S000001943" "ORF"
"UBI4" "MATCH" "1" "UBI4" "S. cerevisiae" "Ubiquitin" "1146" "YLL039C" "S000003962" "ORF"
"BNA5" "MATCH" "1" "BNA5" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "1362" "YLR231C" "S000004221" "ORF"
"SEC22" "MATCH" "1" "SEC22" "S. cerevisiae" "SECretory" "645" "YLR268W" "S000004258" "ORF"
"ZWF1" "MATCH" "1" "ZWF1" "S. cerevisiae" "ZWischenFerment" "1518" "YNL241C" "S000005185" "ORF"
"MRPS16" "MATCH" "1" "MRPS16" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Small subunit" "366" "YPL013C" "S000005934" "ORF"
"MET13" "MATCH" "1" "MET13" "S. cerevisiae" "METhionine requiring" "1803" "YGL125W" "S000003093" "ORF"
"INO1" "MATCH" "1" "INO1" "S. cerevisiae" "INOsitol requiring" "1602" "YJL153C" "S000003689" "ORF"
"BUD20" "MATCH" "1" "BUD20" "S. cerevisiae" "BUD site selection" "501" "YLR074C" "S000004064" "ORF"
"MRPS12" "MATCH" "1" "MRPS12" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Small subunit" "462" "YNR036C" "S000005319" "ORF"
"SPS19" "MATCH" "1" "SPS19" "S. cerevisiae" "SPorulation-Specific" "879" "YNL202W" "S000005146" "ORF"
"YME1" "MATCH" "1" "YME1" "S. cerevisiae" "Yeast Mitochondrial Escape" "2244" "YPR024W" "S000006228" "ORF"
"RRD1" "MATCH" "1" "RRD1" "S. cerevisiae" "Resistant to Rapamycin Deletion" "1182" "YIL153W" "S000001415" "ORF"
"SPE2" "MATCH" "1" "SPE2" "S. cerevisiae" "SPErmidine auxotroph" "1191" "YOL052C" "S000005412" "ORF"
"SPE3" "MATCH" "1" "SPE3" "S. cerevisiae" "SPErmidine auxotroph" "882" "YPR069C" "S000006273" "ORF"
"IKI3" "MATCH" "1" "IKI3" "S. cerevisiae" "Insensitive to KIller toxin" "4050" "YLR384C" "S000004376" "ORF"
"MRPL32" "MATCH" "1" "MRPL32" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "552" "YCR003W" "S000000596" "ORF"
"QCR7" "MATCH" "1" "QCR7" "S. cerevisiae" "ubiQuinol-cytochrome C oxidoReductase" "384" "YDR529C" "S000002937" "ORF"
"MRPL8" "MATCH" "1" "MRPL8" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "717" "YJL063C" "S000003599" "ORF"
"DID4" "MATCH" "1" "DID4" "S. cerevisiae" "Doa4-Independent Degradation" "767" "YKL002W" "S000001485" "ORF"
"HSL7" "MATCH" "1" "HSL7" "S. cerevisiae" "Histone Synthetic Lethal" "2484" "YBR133C" "S000000337" "ORF"
"SYG1" "MATCH" "1" "SYG1" "S. cerevisiae" "Suppressor of Yeast Gpa1" "2709" "YIL047C" "S000001309" "ORF"
"UFD2" "MATCH" "1" "UFD2" "S. cerevisiae" "Ubiquitin Fusion Degradation" "2886" "YDL190C" "S000002349" "ORF"
"BUD23" "MATCH" "1" "BUD23" "S. cerevisiae" "BUD site selection" "828" "YCR047C" "S000000643" "ORF"
"MRPL9" "MATCH" "1" "MRPL9" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "810" "YGR220C" "S000003452" "ORF"
"QCR9" "MATCH" "1" "QCR9" "S. cerevisiae" "ubiQuinol-cytochrome C oxidoReductase" "414" "YGR183C" "S000003415" "ORF"
"GCN3" "MATCH" "1" "GCN3" "S. cerevisiae" "General Control Nonderepressible" "918" "YKR026C" "S000001734" "ORF"
"ARG4" "MATCH" "1" "ARG4" "S. cerevisiae" "ARGinine requiring" "1392" "YHR018C" "S000001060" "ORF"
"GCN2" "MATCH" "1" "GCN2" "S. cerevisiae" "General Control Nonderepressible" "4980" "YDR283C" "S000002691" "ORF"
"PPM1" "MATCH" "1" "PPM1" "S. cerevisiae" "Protein Phosphatase Methyltransferase" "987" "YDR435C" "S000002843" "ORF"
"ARG3" "MATCH" "1" "ARG3" "S. cerevisiae" "ARGinine requiring" "1017" "YJL088W" "S000003624" "ORF"
"MOT2" "MATCH" "1" "MOT2" "S. cerevisiae" "Modulator Of Transcription" "1764" "YER068W" "S000000870" "ORF"
"ARG1" "MATCH" "1" "ARG1" "S. cerevisiae" "ARGinine requiring" "1263" "YOL058W" "S000005419" "ORF"
"STT4" "MATCH" "1" "STT4" "S. cerevisiae" "STaurosporine and Temperature sensitive" "5703" "YLR305C" "S000004296" "ORF"
"MRP20" "MATCH" "1" "MRP20" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "792" "YDR405W" "S000002813" "ORF"
"TRM8" "MATCH" "1" "TRM8" "S. cerevisiae" "Transfer RNA Methyltransferase" "861" "YDL201W" "S000002360" "ORF"
"THR4" "MATCH" "1" "THR4" "S. cerevisiae" "THReonine requiring" "1545" "YCR053W" "S000000649" "ORF"
"PEX7" "MATCH" "1" "PEX7" "S. cerevisiae" "PEroXin" "1128" "YDR142C" "S000002549" "ORF"
"SCS7" "MATCH" "1" "SCS7" "S. cerevisiae" "Suppressor of Ca2+ Sensitivity" "1155" "YMR272C" "S000004885" "ORF"
"FUM1" "MATCH" "1" "FUM1" "S. cerevisiae" "FUMarase" "1467" "YPL262W" "S000006183" "ORF"
"VPS60" "MATCH" "1" "VPS60" "S. cerevisiae" "Vacuolar Protein Sorting" "690" "YDR486C" "S000002894" "ORF"
"ICP55" "MATCH" "1" "ICP55" "S. cerevisiae" "Intermediate Cleaving Peptidase" "1536" "YER078C" "S000000880" "ORF"
"MRPL51" "MATCH" "1" "MRPL51" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "423" "YPR100W" "S000006304" "ORF"
"SGS1" "MATCH" "1" "SGS1" "S. cerevisiae" "Slow Growth Suppressor" "4344" "YMR190C" "S000004802" "ORF"
"PEX3" "MATCH" "1" "PEX3" "S. cerevisiae" "PEroXin" "1326" "YDR329C" "S000002737" "ORF"
"MSD1" "MATCH" "1" "MSD1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D)" "1977" "YPL104W" "S000006025" "ORF"
"ADK1" "MATCH" "1" "ADK1" "S. cerevisiae" "ADenylate Kinase" "669" "YDR226W" "S000002634" "ORF"
"TOP3" "MATCH" "1" "TOP3" "S. cerevisiae" "TOPoisomerase" "1971" "YLR234W" "S000004224" "ORF"
"PEP7" "MATCH" "1" "PEP7" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "1548" "YDR323C" "S000002731" "ORF"
"BUD32" "MATCH" "1" "BUD32" "S. cerevisiae" "BUD site selection" "786" "YGR262C" "S000003494" "ORF"
"PEP3" "MATCH" "1" "PEP3" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "2757" "YLR148W" "S000004138" "ORF"
"HAP3" "MATCH" "1" "HAP3" "S. cerevisiae" "Heme Activator Protein" "435" "YBL021C" "S000000117" "ORF"
"MSW1" "MATCH" "1" "MSW1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)" "1140" "YDR268W" "S000002676" "ORF"
"PET112" "MATCH" "1" "PET112" "S. cerevisiae" "PETite colonies" "1626" "YBL080C" "S000000176" "ORF"
"HSV2" "MATCH" "1" "HSV2" "S. cerevisiae" "Homologous with SVP1" "1347" "YGR223C" "S000003455" "ORF"
"RML2" "MATCH" "1" "RML2" "S. cerevisiae" "Ribosomal Mitochondrial Large" "1182" "YEL050C" "S000000776" "ORF"
"IBA57" "MATCH" "1" "IBA57" "S. cerevisiae" "Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins" "1494" "YJR122W" "S000003883" "ORF"
"LCB5" "MATCH" "1" "LCB5" "S. cerevisiae" "Long-Chain Base" "2064" "YLR260W" "S000004250" "ORF"
"GIM5" "MATCH" "1" "GIM5" "S. cerevisiae" "Gene Involved in Microtubule biogenesis" "575" "YML094W" "S000004559" "ORF"
"PTH2" "MATCH" "1" "PTH2" "S. cerevisiae" "Peptidyl-Trna Hydrolase" "627" "YBL057C" "S000000153" "ORF"
"DPL1" "MATCH" "1" "DPL1" "S. cerevisiae" "Dihydrosphingosine Phosphate Lyase" "1770" "YDR294C" "S000002702" "ORF"
"MRP17" "MATCH" "1" "MRP17" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "396" "YKL003C" "S000001486" "ORF"
"LPD1" "MATCH" "1" "LPD1" "S. cerevisiae" "LiPoamide Dehydrogenase" "1500" "YFL018C" "S000001876" "ORF"
"RPB9" "MATCH" "1" "RPB9" "S. cerevisiae" "RNA Polymerase B" "369" "YGL070C" "S000003038" "ORF"
"SER2" "MATCH" "1" "SER2" "S. cerevisiae" "SERine requiring" "930" "YGR208W" "S000003440" "ORF"
"VPS53" "MATCH" "1" "VPS53" "S. cerevisiae" "Vacuolar Protein Sorting" "2469" "YJL029C" "S000003566" "ORF"
"SER1" "MATCH" "1" "SER1" "S. cerevisiae" "SERine requiring" "1188" "YOR184W" "S000005710" "ORF"
"LEO1" "MATCH" "1" "LEO1" "S. cerevisiae" "LEft Open reading frame" "1395" "YOR123C" "S000005649" "ORF"
"PIK1" "MATCH" "1" "PIK1" "S. cerevisiae" "Phosphatidyl Inositol Kinase" "3201" "YNL267W" "S000005211" "ORF"
"SDH2" "MATCH" "1" "SDH2" "S. cerevisiae" "Succinate DeHydrogenase" "801" "YLL041C" "S000003964" "ORF"
"MDH1" "MATCH" "1" "MDH1" "S. cerevisiae" "Malate DeHydrogenase" "1005" "YKL085W" "S000001568" "ORF"
"GAL7" "MATCH" "1" "GAL7" "S. cerevisiae" "GALactose metabolism" "1101" "YBR018C" "S000000222" "ORF"
"TMA20" "MATCH" "1" "TMA20" "S. cerevisiae" "Translation Machinery Associated" "649" "YER007C-A" "S000002957" "ORF"
"MSN5" "MATCH" "1" "MSN5" "S. cerevisiae" "Multicopy suppressor of SNf1 mutation" "3675" "YDR335W" "S000002743" "ORF"
"ELP2" "MATCH" "1" "ELP2" "S. cerevisiae" "ELongator Protein" "2367" "YGR200C" "S000003432" "ORF"
"ELP4" "MATCH" "1" "ELP4" "S. cerevisiae" "ELongator Protein" "1371" "YPL101W" "S000006022" "ORF"
"SOD2" "MATCH" "1" "SOD2" "S. cerevisiae" "SuperOxide Dismutase" "702" "YHR008C" "S000001050" "ORF"
"PEX13" "MATCH" "1" "PEX13" "S. cerevisiae" "PEroXin" "1161" "YLR191W" "S000004181" "ORF"
"PEX14" "MATCH" "1" "PEX14" "S. cerevisiae" "PEroXisome related" "1026" "YGL153W" "S000003121" "ORF"
"SOD1" "MATCH" "1" "SOD1" "S. cerevisiae" "SuperOxide Dismutase" "465" "YJR104C" "S000003865" "ORF"
"ADE1" "MATCH" "1" "ADE1" "S. cerevisiae" "ADEnine requiring" "921" "YAR015W" "S000000070" "ORF"
"RAD51" "MATCH" "1" "RAD51" "S. cerevisiae" "RADiation sensitive" "1203" "YER095W" "S000000897" "ORF"
"GSH1" "MATCH" "1" "GSH1" "S. cerevisiae" "glutathione (GSH)" "2037" "YJL101C" "S000003637" "ORF"
"MSF1" "MATCH" "1" "MSF1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)" "1410" "YPR047W" "S000006251" "ORF"
"SWD1" "MATCH" "1" "SWD1" "S. cerevisiae" "Set1c, WD40 repeat protein" "1281" "YAR003W" "S000000064" "ORF"
"DOA1" "MATCH" "1" "DOA1" "S. cerevisiae" "Degradation Of Alpha" "2148" "YKL213C" "S000001696" "ORF"
"HER2" "MATCH" "1" "HER2" "S. cerevisiae" "Hmg2p ER Remodeling" "1395" "YMR293C" "S000004907" "ORF"
"BUD16" "MATCH" "1" "BUD16" "S. cerevisiae" "BUD site selection" "939" "YEL029C" "S000000755" "ORF"
"VPS20" "OTHER" "1" "VPS20" "S. cerevisiae" "Vacuolar Protein Sorting" "666" "YMR077C" "S000004682" "ORF"
"HAP3" "OTHER" "1" "HAP3" "S. cerevisiae" "Heme Activator Protein" "435" "YBL021C" "S000000117" "ORF"
"DOA1" "OTHER" "1" "DOA1" "S. cerevisiae" "Degradation Of Alpha" "2148" "YKL213C" "S000001696" "ORF"
"CDC40" "OTHER" "1" "CDC40" "S. cerevisiae" "Cell Division Cycle" "1368" "YDR364C" "S000002772" "ORF"
"QCR7" "OTHER" "1" "QCR7" "S. cerevisiae" "ubiQuinol-cytochrome C oxidoReductase" "384" "YDR529C" "S000002937" "ORF"
"BNA1" "OTHER" "1" "BNA1" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "534" "YJR025C" "S000003786" "ORF"
"MSY1" "OTHER" "1" "MSY1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)" "1479" "YPL097W" "S000006018" "ORF"
"SYG1" "OTHER" "1" "SYG1" "S. cerevisiae" "Suppressor of Yeast Gpa1" "2709" "YIL047C" "S000001309" "ORF"
"GIM5" "OTHER" "1" "GIM5" "S. cerevisiae" "Gene Involved in Microtubule biogenesis" "575" "YML094W" "S000004559" "ORF"
"COX6" "OTHER" "1" "COX6" "S. cerevisiae" "Cytochrome c OXidase" "447" "YHR051W" "S000001093" "ORF"
"MSN5" "OTHER" "1" "MSN5" "S. cerevisiae" "Multicopy suppressor of SNf1 mutation" "3675" "YDR335W" "S000002743" "ORF"
"HER2" "OTHER" "1" "HER2" "S. cerevisiae" "Hmg2p ER Remodeling" "1395" "YMR293C" "S000004907" "ORF"
"MSD1" "OTHER" "1" "MSD1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D)" "1977" "YPL104W" "S000006025" "ORF"
"ATP2" "OTHER" "1" "ATP2" "S. cerevisiae" "ATP synthase" "1536" "YJR121W" "S000003882" "ORF"
"URA2" "OTHER" "1" "URA2" "S. cerevisiae" "URAcil requiring" "6645" "YJL130C" "S000003666" "ORF"
"PEX13" "OTHER" "1" "PEX13" "S. cerevisiae" "PEroXin" "1161" "YLR191W" "S000004181" "ORF"
"MRP17" "OTHER" "1" "MRP17" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "396" "YKL003C" "S000001486" "ORF"
"VPS53" "OTHER" "1" "VPS53" "S. cerevisiae" "Vacuolar Protein Sorting" "2469" "YJL029C" "S000003566" "ORF"
"SNF8" "OTHER" "1" "SNF8" "S. cerevisiae" "Sucrose NonFermenting" "702" "YPL002C" "S000005923" "ORF"
"MRP20" "OTHER" "1" "MRP20" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "792" "YDR405W" "S000002813" "ORF"
"PTH2" "OTHER" "1" "PTH2" "S. cerevisiae" "Peptidyl-Trna Hydrolase" "627" "YBL057C" "S000000153" "ORF"
"LPD1" "OTHER" "1" "LPD1" "S. cerevisiae" "LiPoamide Dehydrogenase" "1500" "YFL018C" "S000001876" "ORF"
"RTF1" "OTHER" "1" "RTF1" "S. cerevisiae" "Restores TBP Function" "1677" "YGL244W" "S000003213" "ORF"
"PRE9" "OTHER" "1" "PRE9" "S. cerevisiae" "PRoteinase yscE" "777" "YGR135W" "S000003367" "ORF"
"ADK1" "OTHER" "1" "ADK1" "S. cerevisiae" "ADenylate Kinase" "669" "YDR226W" "S000002634" "ORF"
"RPB9" "OTHER" "1" "RPB9" "S. cerevisiae" "RNA Polymerase B" "369" "YGL070C" "S000003038" "ORF"
"BUD16" "OTHER" "1" "BUD16" "S. cerevisiae" "BUD site selection" "939" "YEL029C" "S000000755" "ORF"
"PEP7" "OTHER" "1" "PEP7" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "1548" "YDR323C" "S000002731" "ORF"
"DPL1" "OTHER" "1" "DPL1" "S. cerevisiae" "Dihydrosphingosine Phosphate Lyase" "1770" "YDR294C" "S000002702" "ORF"
"QCR9" "OTHER" "1" "QCR9" "S. cerevisiae" "ubiQuinol-cytochrome C oxidoReductase" "414" "YGR183C" "S000003415" "ORF"
"TRM8" "OTHER" "1" "TRM8" "S. cerevisiae" "Transfer RNA Methyltransferase" "861" "YDL201W" "S000002360" "ORF"
"PRE9" "OTHER" "1" "PRE9" "S. cerevisiae" "PRoteinase yscE" "777" "YGR135W" "S000003367" "ORF"
"VPS16" "OTHER" "1" "VPS16" "S. cerevisiae" "Vacuolar Protein Sorting" "2397" "YPL045W" "S000005966" "ORF"
"CYS3" "OTHER" "1" "CYS3" "S. cerevisiae" "CYStathionine gamma-lyase" "1185" "YAL012W" "S000000010" "ORF"
"TRM8" "OTHER" "1" "TRM8" "S. cerevisiae" "Transfer RNA Methyltransferase" "861" "YDL201W" "S000002360" "ORF"
"LEO1" "OTHER" "1" "LEO1" "S. cerevisiae" "LEft Open reading frame" "1395" "YOR123C" "S000005649" "ORF"
