cluster	protein1	protein2	overall_score	total_align_length	total_gap_length	total_perfect_align	total_nonperfect_align	n_gaps	S.cerevisiae_GeneID	bitscore	H.sapiens_ProteinID	S.cerevisiae_ProteinID	H.sapiens_GeneID	H.sapiens_structure	S.cerevisiae_structure	any_structure	auxotrophic	non_respiratory	non_carbon_using
236	P04424	P04076	0.540948275862	460	7	251	209	4	ARG4	496	P04424	P04076	ASL	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
253	P48506	P32477	0.431279620853	618	79	273	345	15	GSH1	476	P48506	P32477	GCLC	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
260	Q99570	P22219	0.280941533789	1277	258	370	907	40	VPS15	468	Q99570	P22219	PIK3R4	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
264	Q93009	P50101	0.31914893617	1044	244	345	699	37	UBP15	466	Q93009	P50101	USP7	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
268	Q06609	P25454	0.661807580175	339	61	227	112	4	RAD51	463	Q06609	P25454	RAD51	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
279	Q96TA2	P32795	0.408104196816	674	172	282	392	17	YME1	460	Q96TA2	P32795	YME1L1	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
282	P42898	P53128	0.410684474124	583	90	246	337	16	MET13	458	P42898	P53128	MTHFR	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
297	Q13472	P13099	0.424193548387	605	447	263	342	15	TOP3	443	Q13472	P13099	TOP3A	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
299	P11413	P11412	0.46	491	38	230	261	9	ZWF1	439	P11413	P11412	G6PD	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
330	P00966	P22768	0.492788461538	411	10	205	206	5	ARG1	416	P00966	P22768	ASS1	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
338	P11177	P32473	0.567123287671	358	9	207	151	7	PDB1	411	P11177	P32473	PDHB	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
347	Q9P2K8	P15442	0.267463813719	1527	254	425	1102	62	GCN2	406	Q9P2K8	P15442	EIF2AK4	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
378	O95470	Q05567	0.372134038801	552	53	211	341	15	DPL1	387	O95470	Q05567	SGPL1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
384	P21912	P21801	0.674157303371	262	22	180	82	5	SDH2	383	P21912	P21801	SDHB	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE
397	P35520	P32582	0.425925925926	477	104	207	270	9	CYS4	375	P35520	P32582	CBS	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
401	Q9UBF8	P39104	0.337482710927	695	492	244	451	28	PIK1	374	Q9UBF8	P39104	PI4KB	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
408	P46199	P25038	0.32892804699	664	75	224	440	17	IFM1	371	P46199	P25038	MTIF2	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
409	P32929	P31373	0.503797468354	387	25	199	188	8	CYS3	370	P32929	P31373	CTH	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
422	Q6IA86	P42935	0.316730523627	751	112	248	503	32	ELP2	365	Q6IA86	P42935	ELP2	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
429	P06132	P32347	0.511049723757	356	17	185	171	6	HEM12	362	P06132	P32347	UROD	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
434	P19623	Q12074	0.557432432432	292	11	165	127	4	SPE3	360	P19623	Q12074	SRM	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
450	Q16719	Q05979	0.453724604966	429	60	201	228	14	BNA5	350	Q16719	Q05979	KYNU	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
451	Q9NTJ5	P32368	0.354452054795	572	66	207	365	12	SAC1	350	Q9NTJ5	P32368	SACM1L	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
454	P63244	P38011	0.531446540881	313	10	169	144	5	ASC1	347	P63244	P38011	RACK1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
465	P50213	P28241	0.51902173913	360	15	191	169	8	IDH2	343	P50213	P28241	IDH3A	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
491	P07902	P08431	0.450980392157	352	41	161	191	5	GAL7	331	P07902	P08431	GALT	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
498	Q9H611	P07271	0.349683544304	606	288	221	385	26	PIF1	329	Q9H611	P07271	PIF1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
499	Q9Y263	P36037	0.330995792426	686	138	236	450	27	DOA1	329	Q9Y263	P36037	PLAA	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
516	O95155	P54860	0.285092491839	890	483	262	628	29	UFD2	318	O95155	P54860	UBE4B	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
522	P40926	P17505	0.52994011976	329	14	177	152	5	MDH1	314	P40926	P17505	MDH2	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
537	P08574	P07143	0.513333333333	294	46	154	140	6	CYT1	305	P08574	P07143	CYC1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
541	O95363	P08425	0.389277389277	415	90	167	248	14	MSF1	304	O95363	P08425	FARS2	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
553	Q6PI48	P15179	0.346405228758	590	123	212	378	22	MSD1	302	Q6PI48	P15179	DARS2	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
568	P49915	P38625	0.377323420074	519	180	203	316	19	GUA1	299	P49915	P38625	GMPS	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
581	Q8IYB8	P32580	0.323262839879	633	257	214	419	29	SUV3	295	Q8IYB8	P32580	SUPV3L1	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
600	O75191	P42826	0.334572490706	526	84	180	346	12	XKS1	291	O75191	P42826	XYLB	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
601	Q9UBP6	Q12009	0.56640625	252	58	145	107	4	TRM8	291	Q9UBP6	Q12009	METTL1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
607	Q86YJ6	P16120	0.359504132231	469	60	174	295	15	THR4	289	Q86YJ6	P16120	THNSL2	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
623	O60508	P40968	0.348684210526	446	142	159	287	10	CDC40	284	O60508	P40968	CDC40	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
624	O95396	P38820	0.383561643836	426	48	168	258	12	UBA4	284	O95396	P38820	MOCS3	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
632	Q14191	P35187	0.261923377639	1225	429	335	890	54	SGS1	283	Q14191	P35187	WRN	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
645	Q9NQH7	P40051	0.336048879837	478	62	165	313	13	ICP55	280	Q9NQH7	P40051	XPNPEP3	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
657	O15229	P38169	0.371681415929	438	70	168	270	14	BNA4	275	O15229	P38169	KMO	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
666	Q9Y617	P33330	0.41018766756	365	35	153	212	8	SER1	271	Q9Y617	P33330	PSAT1	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
697	P25789	P23638	0.5	255	9	130	125	5	PRE9	263	P25789	P23638	PSMA4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
699	P54819	P07170	0.5625	221	19	126	95	3	ADK1	262	P54819	P07170	AK2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
703	O94822	Q04781	0.232450331126	1439	450	351	1088	71	RKR1	261	O94822	Q04781	LTN1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
713	O75083	P46680	0.290268456376	572	77	173	399	24	AIP1	256	O75083	P46680	WDR1	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
716	Q96AT9	P46969	0.550218340611	227	12	126	101	2	RPE1	256	Q96AT9	P46969	RPE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
723	Q8TBC4	Q99344	0.428571428571	293	176	129	164	8	UBA3	255	Q8TBC4	Q99344	UBA3	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
726	Q9Y2Z4	P48527	0.324152542373	462	45	153	309	10	MSY1	255	Q9Y2Z4	P48527	YARS2	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
746	O14744	P38274	0.287519747235	611	242	182	429	22	HSL7	249	O14744	P38274	PRMT5	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
752	O43709	P25627	0.464028776978	274	8	129	145	4	BUD23	248	O43709	P25627	BUD23	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
755	Q9UGM6	P04803	0.379781420765	357	25	139	218	9	MSW1	248	Q9UGM6	P04803	WARS2	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
763	P54578	P43593	0.327695560254	460	73	155	305	13	UBP6	245	P54578	P43593	USP14	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
766	P00480	P05150	0.369696969697	324	44	122	202	6	ARG3	243	P00480	P05150	OTC	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
786	Q15274	P43619	0.448275862069	285	22	130	155	5	BNA6	238	Q15274	P43619	QPRT	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
796	O95202	Q08179	0.307832422587	526	260	169	357	23	MDM38	235	O95202	Q08179	LETM1	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
810	Q9Y5K8	P32610	0.496	245	13	124	121	5	VMA8	233	Q9Y5K8	P32610	ATP6V1D	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
825	Q9H0R6	Q03557	0.327510917031	448	96	150	298	10	HER2	229	Q9H0R6	Q03557	QRSL1	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
834	O95628	P34909	0.313883299799	471	220	156	315	26	MOT2	227	O95628	P34909	CNOT4	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
860	Q14232	P14741	0.413114754098	301	8	126	175	4	GCN3	223	Q14232	P14741	EIF2B1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
875	Q5HYK3	P49017	0.439597315436	291	52	131	160	7	COQ5	220	Q5HYK3	P49017	COQ5	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
899	P27449	P25515	0.683870967742	153	9	106	47	2	VMA3	213	P27449	P25515	ATP6V0C	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
918	Q9UBH6	P40528	0.274452554745	657	284	188	469	28	SYG1	209	Q9UBH6	P40528	XPR1	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
929	Q15257	P40454	0.373456790123	315	121	121	194	9	RRD1	207	Q15257	P40454	PTPA	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
944	O75879	P33893	0.302504816956	501	96	157	344	18	PET112	203	O75879	P33893	GATB	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
961	O43633	P36108	0.440528634361	222	10	100	122	5	DID4	201	O43633	P36108	CHMP2A	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
962	O75478	Q02336	0.28801843318	423	31	125	298	11	ADA2	201	O75478	Q02336	TADA2A	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
981	Q86X76	P47016	0.388111888112	279	76	111	168	7	NIT2	197	Q86X76	P47016	NIT1	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
1002	P36542	P38077	0.38	294	21	114	180	6	ATP3	193	P36542	P38077	ATP5F1C	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
1024	P04179	P00447	0.426666666667	220	15	96	124	5	SOD2	189	P04179	P00447	SOD2	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1029	Q5MNZ6	P50079	0.344729344729	338	116	121	217	13	HSV2	188	Q5MNZ6	P50079	WDR45B	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1037	Q9BV79	P38071	0.354107648725	341	71	125	216	12	ETR1	187	Q9BV79	P38071	MECR	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
1060	Q9NUI1	P32573	0.378839590444	286	12	111	175	7	SPS19	183	Q9NUI1	P32573	DECR2	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
1067	Q8WUM4	Q12033	0.25	652	225	168	484	20	RIM20	182	Q8WUM4	Q12033	PDCD6IP	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
1071	O00764	P39988	0.354098360656	296	32	108	188	9	BUD16	181	O00764	P39988	PDXK	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1081	Q7L5A8	Q03529	0.31693989071	351	54	116	235	15	SCS7	180	Q7L5A8	Q03529	FA2H	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
1089	Q9P253	P27801	0.221468926554	851	189	196	655	34	PEP3	178	Q9P253	P27801	VPS18	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
1107	P00441	P00445	0.541935483871	153	2	84	69	2	SOD1	173	P00441	P00445	SOD1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
1114	P17707	P21182	0.316568047337	328	74	107	221	10	SPE2	172	P17707	P21182	AMD1	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1121	Q9H269	Q03308	0.221216041397	744	149	171	573	29	VPS16	171	Q9H269	Q03308	VPS16	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
1145	Q9ULC4	P89886	0.461538461538	178	6	84	94	4	TMA20	168	Q9ULC4	P89886	MCTS1	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1161	O00628	P39108	0.327044025157	309	80	104	205	9	PEX7	165	O00628	P39108	PEX7	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
1196	Q8TBZ6	Q12400	0.302816901408	278	76	86	192	6	TRM10	157	Q8TBZ6	Q12400	TRMT10A	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1201	Q96H20	Q12483	0.361344537815	233	25	86	147	5	SNF8	156	Q96H20	Q12483	SNF8	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
1202	Q9NYA1	Q06147	0.259946949602	361	349	98	263	16	LCB5	156	Q9NYA1	Q06147	SPHK1	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
1214	Q92541	P53064	0.246350364964	525	218	135	390	23	RTF1	154	Q92541	P53064	RTF1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
1230	O75396	P22214	0.356807511737	207	15	76	131	6	SEC22	151	O75396	P22214	SEC22B	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1235	Q15291	P39706	0.287769784173	400	164	120	280	17	SWD1	150	Q15291	P39706	RBBP5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1246	Q8WVC0	P38439	0.274336283186	431	268	124	307	21	LEO1	148	Q8WVC0	P38439	LEO1	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1288	Q9H8Y5	Q04311	0.266086956522	548	262	153	395	27	VMS1	143	Q9H8Y5	Q04311	ANKZF1	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
1291	P09001	P31334	0.338181818182	262	93	93	169	13	MRPL9	142	P09001	P31334	MRPL3	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1303	Q5VIR6	P47061	0.213930348259	584	353	129	455	19	VPS53	141	Q5VIR6	P47061	VPS53	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
1315	Q9HAV4	P52918	0.196443691787	1130	168	232	898	51	MSN5	139	Q9HAV4	P52918	XPO5	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1323	Q9UMS0	P32860	0.370044052863	216	78	84	132	11	NFU1	138	Q9UMS0	P32860	NFU1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1336	P25208	P13434	0.455782312925	143	65	67	76	4	HAP3	136	P25208	P13434	NFYB	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
1381	Q8N159	Q01217	0.251509054326	480	437	125	355	17	ARG5,6	128	Q8N159	Q01217	NAGS	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1391	Q9Y3E5	P34222	0.420765027322	179	29	77	102	4	PTH2	127	Q9Y3E5	P34222	PTRH2	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
1397	P46952	P47096	0.382857142857	171	121	67	104	4	BNA1	126	P46952	P47096	HAAO	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1432	P48047	P09457	0.338235294118	199	27	69	130	5	ATP5	121	P48047	P09457	ATP5PO	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
1433	Q96S44	P53323	0.344398340249	232	50	83	149	9	BUD32	121	Q96S44	P53323	TP53RK	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
1452	Q9Y3B7	P53875	0.409395973154	145	60	61	84	4	MRPL19	119	Q9Y3B7	P53875	MRPL11	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
1461	Q5T653	P32611	0.304635761589	287	124	92	195	15	RML2	118	Q5T653	P32611	MRPL2	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
1469	Q9UK41	Q02767	0.301801801802	214	35	67	147	8	VPS28	117	Q9UK41	Q02767	VPS28	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
1470	Q9UIC8	Q04081	0.285245901639	290	82	87	203	15	PPM1	117	Q9UIC8	Q04081	LCMT1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1477	Q86SX6	Q02784	0.405594405594	138	31	58	80	5	GRX5	116	Q86SX6	Q02784	GLRX5	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
1497	P36954	P27999	0.431034482759	112	23	50	62	4	RPB9	113	P36954	P27999	POLR2I	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
1500	Q16864	P39111	0.512605042017	115	7	61	54	4	VMA7	113	Q16864	P39111	ATP6V1F	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
1503	Q9NZZ3	Q03390	0.305555555556	211	26	66	145	5	VPS60	113	Q9NZZ3	Q03390	CHMP5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1509	O15235	P53732	0.474820143885	133	25	66	67	6	MRPS12	112	O15235	P53732	MRPS12	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
1516	P50336	P40012	0.242362525458	469	78	119	350	22	HEM14	111	P50336	P40012	PPOX	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
1535	Q99471	Q04493	0.360759493671	154	9	57	97	4	GIM5	109	Q99471	Q04493	PFDN5	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
1543	Q9H1K0	P32609	0.234782608696	434	431	108	326	26	PEP7	108	Q9H1K0	P32609	RBSN	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
1549	Q99816	P25604	0.226666666667	364	47	85	279	11	STP22	107	Q99816	P25604	TSG101	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
1560	Q9H063	P41910	0.249011857708	239	173	63	176	14	MAF1	105	Q9H063	P41910	MAF1	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
1568	Q92968	P80667	0.279202279202	335	119	98	237	16	PEX13	104	Q92968	P80667	PEX13	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
1579	Q9UM13	P53068	0.289473684211	185	65	55	130	5	DOC1	103	Q9UM13	P53068	ANAPC10	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1607	Q9Y255	Q05776	0.305084745763	175	44	54	121	2	UPS1	100	Q9Y255	Q05776	PRELID1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1627	Q99720	P32352	0.305936073059	212	21	67	145	7	ERG2	97	Q99720	P32352	SIGMAR1	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1640	O15116	P47017	0.36641221374	125	55	48	77	6	LSM1	96	O15116	P47017	LSM1	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
1645	Q96FZ7	Q04272	0.28078817734	195	32	57	138	8	VPS20	96	Q96FZ7	Q04272	CHMP6	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
1670	Q9BYD1	Q12487	0.333333333333	160	21	55	105	5	MRPL23	93	Q9BYD1	Q12487	MRPL13	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1707	P63272	P32914	0.4	102	15	42	60	3	SPT4	88	P63272	P32914	SUPT4H1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1725	O75381	P53112	0.218241042345	294	130	67	227	13	PEX14	86	O75381	P53112	PEX14	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
1728	O15212	P52553	0.418803418803	114	15	49	65	3	YKE2	85	O15212	P52553	PFDN6	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
1762	Q8N7H5	P38351	0.23488372093	408	160	101	307	22	PAF1	80	Q8N7H5	P38351	PAF1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1789	P78330	P42941	0.262008733624	222	90	60	162	7	SER2	77	P78330	P42941	PSPH	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1795	P20674	P00427	0.331125827815	147	4	50	97	4	COX6	76	P20674	P00427	COX5A	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1801	Q5T440	P47158	0.269886363636	333	187	95	238	19	IBA57	76	Q5T440	P47158	IBA57	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
1834	P14927	P00128	0.339130434783	111	16	39	72	4	QCR7	71	P14927	P00128	UQCRB	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1846	O00488	Q08004	0.370967741935	119	62	46	73	5	BUD20	70	O00488	Q08004	ZNF593	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1860	Q96EB1	Q02884	0.257985257985	385	110	105	280	22	ELP4	68	Q96EB1	Q02884	ELP4	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
1862	Q9H1Y0	Q12380	0.242647058824	262	45	66	196	10	ATG5	68	Q9H1Y0	Q12380	ATG5	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1868	O75208	Q05779	0.236641221374	251	76	62	189	11	COQ9	67	O75208	Q05779	COQ9	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
1869	Q02127	P28272	0.225490196078	297	115	69	228	9	URA1	67	Q02127	P28272	DHODH	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1898	P24539	P05626	0.214574898785	239	22	53	186	8	ATP4	64	P24539	P05626	ATP5PB	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
1901	Q9P0J6	O14464	0.415730337079	83	30	37	46	6	RTC6	64	Q9P0J6	O14464	MRPL36	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1925	Q9H2W6	P36528	0.246031746032	242	76	62	180	10	MRPL17	61	Q9H2W6	P36528	MRPL46	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1939	Q9Y3D3	Q02608	0.344827586207	111	36	40	71	5	MRPS16	59	Q9Y3D3	Q02608	MRPS16	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1945	Q9NRX2	P22353	0.251461988304	166	81	43	123	5	MRPL8	58	Q9NRX2	P22353	MRPL17	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1949	O43715	O60200	0.358974358974	75	12	28	47	3	MDM35	57	O43715	O60200	TRIAP1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1967	P22234	P27616	0.221014492754	264	203	61	203	12	ADE1	55	P22234	P27616	PAICS	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
1971	O75947	P30902	0.2	159	17	33	126	6	ATP7	54	O75947	P30902	ATP5PD	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
1972	P56589	P28795	0.203342618384	341	132	73	268	18	PEX3	54	P56589	P28795	PEX3	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
1981	Q14061	Q12287	0.338461538462	63	6	22	41	2	COX17	53	Q14061	Q12287	COX17	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1998	Q16540	P32387	0.24025974026	148	120	37	111	6	MRP20	50	Q16540	P32387	MRPL23	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
2015	O60783	P10663	0.275862068966	112	19	32	80	4	MRP2	47	O60783	P10663	MRPS14	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
2016	Q9UDW1	P22289	0.327868852459	59	11	20	39	2	QCR9	47	Q9UDW1	P22289	UQCR10	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
2028	P82932	P28778	0.261904761905	120	16	33	87	6	MRP17	44	P82932	P28778	MRPS6	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
2034	Q8N983	Q06090	0.219858156028	137	81	31	106	4	MRPL51	43	Q8N983	Q06090	MRPL43	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
2038	Q9BYC8	P25348	0.165714285714	167	37	29	138	8	MRPL32	42	Q9BYC8	P25348	MRPL32	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
