cluster	protein1	protein2	overall_score	total_align_length	total_gap_length	total_perfect_align	total_nonperfect_align	n_gaps
1102	Q9Y535	P35718	0.446078431373	199	18	91	108	5
1114	P17707	P21182	0.316568047337	328	74	107	221	10
1928	Q9Y5R4	P53944	0.225092250923	257	138	61	196	14
1498	P23434	P39726	0.391025641026	149	45	61	88	7
1754	O95249	P38736	0.235807860262	222	29	54	168	7
313	Q96GQ7	P32892	0.363004172462	689	170	261	428	30
29	Q99798	P19414	0.658536585366	775	8	513	262	4
1886	Q9Y5L4	P53299	0.368421052632	90	20	35	55	5
669	Q9H720	P25618	0.298245614035	659	334	204	455	25
648	Q10570	Q06632	0.228418640183	1254	292	299	955	55
1835	Q15369	Q03071	0.353535353535	96	19	35	61	3
1925	Q9H2W6	P36528	0.246031746032	242	76	62	180	10
820	O15355	P39966	0.385294117647	327	356	131	196	13
1342	P61218	P20435	0.553846153846	127	28	72	55	3
1281	Q99741	P09119	0.274468085106	454	165	129	325	16
1862	Q9H1Y0	Q12380	0.242647058824	262	45	66	196	10
237	P40692	P38920	0.380697050938	728	69	284	444	18
1302	Q5VVQ6	P43558	0.299663299663	287	75	89	198	10
1903	Q9NRF9	Q04603	0.281690140845	137	69	40	97	5
547	Q9Y672	Q12001	0.367588932806	491	69	186	305	15
173	P26196	P39517	0.643020594966	431	127	281	150	6
1044	Q9BVL4	Q08968	0.290163934426	586	185	177	409	24
1510	Q9Y2S0	P28000	0.386206896552	142	113	56	86	3
1666	O43156	P36097	0.200614124872	933	261	196	737	44
1178	Q9Y3A0	O13525	0.369003690037	265	70	100	165	6
1708	P62304	Q12330	0.455555555556	87	12	41	46	3
554	Q9GZR7	P38112	0.316239316239	674	284	222	452	28
1141	O00471	Q06245	0.205555555556	693	193	148	545	27
486	P53602	P32377	0.455919395466	390	16	181	209	7
733	P62979	P05759	0.816993464052	152	4	125	27	1
361	Q9ULA0	P38821	0.4375	472	21	210	262	8
534	O75140	P47170	0.213444213444	1380	427	308	1072	63
1650	Q86TP1	P38698	0.252032520325	354	142	93	261	15
286	P61011	P20424	0.488188976378	498	49	248	250	10
1266	Q8N5U6	Q06436	0.23007518797	627	227	153	474	38
1837	Q9Y248	P40359	0.259259259259	180	38	49	131	9
1607	Q9Y255	Q05776	0.305084745763	175	44	54	121	2
1798	O43290	Q12420	0.253141831239	518	351	141	377	39
1338	P53680	Q00381	0.479452054795	142	5	70	72	4
1279	P49354	P29703	0.28	290	115	84	206	10
960	P00403	P00410	0.411255411255	226	26	95	131	5
981	Q86X76	P47016	0.388111888112	279	76	111	168	7
1882	Q9H8P0	P40526	0.264591439689	247	77	68	179	10
1004	Q9Y5L0	Q99189	0.225563909774	900	95	210	690	31
85	Q15269	P25635	0.434927697442	887	68	391	496	12
433	Q9UNQ2	P41819	0.56050955414	313	5	176	137	1
2006	Q9GZZ1	Q08689	0.2375	154	37	38	116	6
786	Q15274	P43619	0.448275862069	285	22	130	155	5
637	Q10713	P11914	0.345991561181	463	81	164	299	11
772	P25786	P40302	0.527659574468	232	33	124	108	3
1958	P53803	P40422	0.372881355932	58	12	22	36	1
2002	Q15493	P38235	0.219672131148	289	79	67	222	16
1249	P61599	Q06504	0.415300546448	176	21	76	100	7
1212	Q13257	P40958	0.414141414141	194	13	82	112	4
623	O60508	P40968	0.348684210526	446	142	159	287	10
492	O95478	P40078	0.620689655172	260	1	162	98	1
1059	Q6BCY4	P38626	0.393822393822	250	60	102	148	9
1390	Q86WR0	P40206	0.386934673367	191	34	77	114	8
1466	Q9BQC3	P32461	0.269151138716	461	101	130	331	22
1677	Q9Y399	P32902	0.271375464684	258	174	73	185	11
264	Q93009	P50101	0.31914893617	1044	244	345	699	37
312	P09960	Q10740	0.400326797386	595	92	245	350	17
542	P37268	P29704	0.430656934307	402	57	177	225	9
1058	O75794	Q05791	0.306547619048	325	46	103	222	11
1527	Q9Y2Y1	Q04307	0.518181818182	104	10	57	47	6
1918	Q96EY9	Q9URQ3	0.232786885246	288	97	71	217	17
1534	Q9BQG0	P39985	0.213822894168	879	592	198	681	47
1432	P48047	P09457	0.338235294118	199	27	69	130	5
568	P49915	P38625	0.377323420074	519	180	203	316	19
1050	O14757	P38147	0.297008547009	449	105	139	310	19
43	P35573	Q06625	0.397664835165	1421	226	579	842	35
1363	Q8N766	P25574	0.212534059946	698	357	156	542	36
610	P49643	P20457	0.335416666667	467	103	161	306	13
1219	P23919	P00572	0.451776649746	190	48	89	101	7
574	Q6PJI9	Q03897	0.248736097068	952	218	246	706	37
1612	P78346	P38786	0.266917293233	258	45	71	187	8
1512	Q9Y6H3	P53722	0.343137254902	195	83	70	125	9
190	O43776	P38707	0.514492753623	544	14	284	260	8
775	P40616	P38116	0.633879781421	181	2	116	65	2
626	P34949	P29952	0.385882352941	414	24	164	250	11
1550	Q9NS91	P10862	0.212189616253	424	134	94	330	19
268	Q06609	P25454	0.661807580175	339	61	227	112	4
1132	P41223	P25337	0.52027027027	144	13	77	67	4
376	P49959	P32829	0.368815592204	647	106	246	401	20
513	Q15393	Q04693	0.263959390863	1136	306	312	824	46
1878	P10746	P06174	0.25	253	34	66	187	11
1670	Q9BYD1	Q12487	0.333333333333	160	21	55	105	5
1042	Q96BW1	P18562	0.471428571429	207	111	99	108	3
188	Q9BZE4	Q02892	0.4640625	632	17	297	335	8
895	Q9Y5B0	Q03254	0.280626780627	666	361	197	469	36
562	Q13724	P53008	0.312418300654	740	190	239	501	25
844	Q92685	P38179	0.346241457859	427	42	152	275	12
629	Q96G21	P53941	0.517123287671	285	11	151	134	7
288	Q96D46	P38861	0.441117764471	492	37	221	271	9
787	Q9BU89	P47120	0.46204620462	295	37	140	155	8
1449	Q14997	P43583	0.193181818182	1669	648	340	1329	91
735	Q15435	P36047	0.440828402367	326	46	149	177	12
947	Q12887	P21592	0.336515513126	408	89	141	267	11
636	P30260	P38042	0.282157676349	705	172	204	501	18
1682	P49914	P40099	0.29	192	30	58	134	8
1869	Q02127	P28272	0.225490196078	297	115	69	228	9
2022	O00244	P38636	0.357142857143	68	5	25	43	2
1397	P46952	P47096	0.382857142857	171	121	67	104	4
510	P51665	Q08723	0.486153846154	320	22	158	162	5
809	Q9H6R4	P53254	0.239610963749	1085	213	271	814	46
329	Q9NPF4	P36132	0.652046783626	335	51	223	112	7
561	P35232	P40961	0.521897810219	272	15	143	129	2
1975	Q9NX07	P40561	0.224066390041	230	77	54	176	11
109	P48643	P40413	0.599264705882	541	21	326	215	3
1203	Q9NUP7	Q12383	0.308411214953	414	129	132	282	14
1142	O75648	Q12093	0.303896103896	372	94	117	255	13
127	P33992	P29496	0.484438430311	724	61	358	366	15
582	Q9NWZ5	P27515	0.34592445328	490	69	174	316	13
728	Q9UHW5	Q06543	0.42700729927	269	18	117	152	5
1880	O77932	P53063	0.221238938053	323	137	75	248	16
567	P46777	P26321	0.501706484642	291	12	147	144	2
1756	P30049	Q12165	0.294478527607	160	8	48	112	3
481	Q8TAT6	P33755	0.333922261484	551	86	189	362	15
807	Q32NB8	P25578	0.328767123288	493	91	168	325	18
305	P30038	P07275	0.411971830986	559	20	234	325	9
825	Q9H0R6	Q03557	0.327510917031	448	96	150	298	10
390	Q96C11	Q04585	0.384615384615	545	176	215	330	14
1499	P08621	Q00916	0.316498316498	283	171	94	189	14
1368	Q9P0I2	P36039	0.310204081633	237	40	76	161	8
746	O14744	P38274	0.287519747235	611	242	182	429	22
1651	Q96E22	Q12063	0.263157894737	257	154	70	187	9
1384	Q9NQQ7	Q03697	0.301369863014	351	105	110	241	14
1962	Q9BYD3	P51998	0.224719101124	257	83	60	197	10
1057	O15527	P53397	0.366071428571	321	79	123	198	15
379	Q15542	P38129	0.333780160858	721	156	249	472	25
2041	Q969H6	P28005	0.229299363057	152	32	36	116	5
258	P43304	P32191	0.430441898527	593	190	263	330	18
385	P53582	Q01662	0.490716180371	370	33	185	185	7
456	P13716	P05373	0.522522522523	329	14	174	155	4
802	Q32P41	P38793	0.377574370709	417	174	165	252	20
1973	Q6PI98	P32617	0.261904761905	162	34	44	118	6
994	Q9Y316	P47085	0.377483443709	293	49	114	179	9
1503	Q9NZZ3	Q03390	0.305555555556	211	26	66	145	5
575	Q8TEQ8	Q07830	0.293388429752	926	254	284	642	42
914	P60604	Q02159	0.624242424242	165	0	103	62	0
915	Q92521	P30777	0.295019157088	502	166	154	348	20
1286	Q9BV57	Q03677	0.415730337079	172	14	74	98	6
434	P19623	Q12074	0.557432432432	292	11	165	127	4
650	Q9HB07	P40093	0.431952662722	330	54	146	184	8
852	P38117	P42940	0.46511627907	253	10	120	133	5
324	Q9NY33	Q08225	0.353693181818	684	80	249	435	20
1950	P30044	P38013	0.25	171	48	45	126	9
299	P11413	P11412	0.46	491	38	230	261	9
948	Q92890	P53044	0.390476190476	306	56	123	183	9
834	O95628	P34909	0.313883299799	471	220	156	315	26
41	Q92900	P30771	0.503048780488	968	164	495	473	16
1452	Q9Y3B7	P53875	0.409395973154	145	60	61	84	4
1380	P24863	P47821	0.338461538462	255	96	88	167	5
141	P56192	P00958	0.435931307794	739	173	330	409	18
953	O00311	P06243	0.302375809935	444	193	140	304	19
1774	Q9HD34	Q6Q560	0.380434782609	91	3	35	56	1
984	Q8IW45	P36059	0.36858974359	300	84	115	185	12
1954	Q9NRP4	Q04401	0.296610169492	114	30	35	79	4
1854	Q9Y5J7	O74700	0.353658536585	80	16	29	51	2
1764	Q9UK97	Q12347	0.235820895522	318	155	79	239	17
112	P17987	P12612	0.619307832423	545	25	340	205	4
909	Q9HAU5	P38798	0.245614035088	990	381	252	738	36
53	Q6IA69	P38795	0.583684950774	705	10	415	290	6
1901	Q9P0J6	O14464	0.415730337079	83	30	37	46	6
1853	Q49B96	Q3E731	0.347826086957	90	8	32	58	2
1707	P63272	P32914	0.4	102	15	42	60	3
693	P60900	P21243	0.538461538462	244	10	133	111	3
1969	P84101	Q3E7B7	0.457627118644	57	13	27	30	2
573	Q9H501	Q06344	0.338898163606	574	331	203	371	25
1088	Q6PI26	P40486	0.269978401728	448	188	125	323	15
593	Q13895	P38333	0.377272727273	428	64	166	262	12
1232	Q3ZCQ8	Q02776	0.304093567251	329	171	104	225	13
35	P23378	P49095	0.506378802748	996	62	516	480	23
1643	Q8N3Z3	Q05473	0.285185185185	261	76	77	184	9
1987	P28328	P32800	0.248	235	106	62	173	15
429	P06132	P32347	0.511049723757	356	17	185	171	6
158	P17980	P33297	0.679069767442	428	17	292	136	2
618	P15880	P25443	0.553846153846	254	39	144	110	6
1818	P30039	P38765	0.277192982456	273	36	79	194	12
125	P49368	P39077	0.592105263158	527	25	315	212	5
662	P46782	P26783	0.668292682927	202	25	137	65	3
498	Q9H611	P07271	0.349683544304	606	288	221	385	26
1137	Q6NXT6	P40085	0.286259541985	500	123	150	350	24
1239	O43615	Q01852	0.254672897196	412	59	109	303	16
14	O14802	P04051	0.517167381974	1381	88	723	658	17
1738	Q9NXG2	P53072	0.248201438849	266	110	69	197	12
400	O75312	P53303	0.45154185022	446	53	205	241	8
555	Q9Y3T9	P39744	0.291411042945	637	185	190	447	15
1083	Q9Y5J1	P40362	0.260521042084	481	188	130	351	18
121	Q15046	P15180	0.564322469983	575	38	329	246	8
1108	O75716	Q12003	0.343234323432	295	79	104	191	8
366	O95394	P38628	0.436697247706	531	37	238	293	14
521	P05198	P20459	0.529220779221	303	13	163	140	5
519	Q16850	P10614	0.365612648221	495	43	185	310	11
420	Q9UJ83	P39994	0.385304659498	545	48	215	330	13
1871	Q86Y79	P38876	0.314285714286	165	74	55	110	10
1046	O60725	P32584	0.386554621849	233	57	92	141	5
877	Q9UI10	P12754	0.323699421965	501	172	168	333	18
1074	O75792	P53942	0.376271186441	284	38	111	173	11
1834	P14927	P00128	0.339130434783	111	16	39	72	4
990	Q8N2K1	P33296	0.408	240	29	102	138	10
1031	Q9BQ52	P36159	0.264	721	222	198	523	29
1533	O75486	P06844	0.274509803922	296	62	84	212	10
1244	P62487	P34087	0.43023255814	169	5	74	95	3
1035	Q15645	P38126	0.317647058824	408	180	135	273	17
1399	P62316	Q06217	0.513513513514	108	12	57	51	3
876	Q8TBB5	Q08979	0.284351145038	504	163	149	355	20
260	Q99570	P22219	0.280941533789	1277	258	370	907	40
1295	Q8NFV4	P53219	0.302180685358	309	39	97	212	12
683	Q8TDN6	Q08235	0.450704225352	279	86	128	151	5
115	P78371	P39076	0.650943396226	526	10	345	181	4
776	Q96H96	P32378	0.372928176796	354	35	135	219	8
206	P61160	P32381	0.661577608142	390	5	260	130	3
673	Q15008	Q06103	0.36523929471	389	40	145	244	8
1943	O75347	P48606	0.285714285714	101	12	30	71	4
1999	Q9NWU2	P40208	0.242290748899	218	247	55	163	9
485	O00231	Q12377	0.423529411765	418	20	180	238	7
74	P49736	P29469	0.50488997555	804	164	413	391	14
635	O00400	P38318	0.327345309381	489	131	164	325	12
600	O75191	P42826	0.334572490706	526	84	180	346	12
1828	Q9BSV6	P39707	0.245421245421	258	69	67	191	15
1566	Q01658	Q92317	0.351351351351	145	32	52	93	3
1415	Q96S15	Q08281	0.218249075216	764	603	177	587	47
1830	Q9NV56	P53911	0.245614035088	161	307	42	119	10
596	Q9Y5Y2	P40558	0.492753623188	271	22	136	135	5
886	Q15738	P53199	0.366568914956	333	56	125	208	8
412	O43660	Q12417	0.403973509934	439	87	183	256	14
1551	Q9UJ68	P40029	0.344444444444	174	71	62	112	6
552	Q13347	P40217	0.449848024316	325	22	148	177	4
1307	P14314	Q04924	0.253731343284	506	218	136	370	30
1826	Q8N954	Q06152	0.252212389381	218	123	57	161	8
76	P53618	P41810	0.426624737945	941	44	407	534	13
217	Q9NPH2	P11986	0.508704061896	509	73	263	246	8
1280	Q13889	Q12004	0.292063492063	305	36	92	213	10
45	Q9H9Y6	P22138	0.443071491615	1114	110	502	612	19
1575	O43583	P47089	0.320224719101	172	52	57	115	6
1932	Q9Y5U9	Q3E834	0.423529411765	82	3	36	46	3
463	Q68CQ4	P40498	0.324894514768	684	109	231	453	27
1968	Q14894	P53110	0.259493670886	298	88	82	216	18
1927	Q9BTT4	Q06213	0.251798561151	135	22	35	100	4
1345	Q15003	P38170	0.215568862275	636	223	144	492	32
1332	Q9NNW5	Q08924	0.199398797595	953	228	199	754	45
1907	P63173	P49167	0.535211267606	69	10	38	31	2
1049	Q9UBE0	Q06624	0.338235294118	330	33	115	215	10
594	Q9BW19	P17119	0.345425867508	611	180	219	392	23
1516	P50336	P40012	0.242362525458	469	78	119	350	22
491	P07902	P08431	0.450980392157	352	41	161	191	5
435	Q9Y6V7	P38719	0.481308411215	418	78	206	212	10
11	Q8N3C0	P53327	0.428643981717	1924	321	844	1080	45
1177	Q4G176	P38137	0.264875239923	503	113	138	365	18
401	Q9UBF8	P39104	0.337482710927	695	492	244	451	28
1814	Q5JQF8	Q99181	0.27135678392	192	29	54	138	7
262	Q9BZJ0	Q12309	0.38846737481	645	245	256	389	14
551	P23396	P05750	0.648760330579	240	3	157	83	2
1153	O43772	Q12289	0.324414715719	291	46	97	194	8
1805	Q14197	Q12322	0.258536585366	196	16	53	143	9
665	Q92994	P29056	0.336397058824	524	225	183	341	20
1138	Q9UKD2	P33201	0.384955752212	223	29	87	136	3
828	Q8TD22	Q12029	0.393188854489	318	31	127	191	5
773	P50750	Q03957	0.361878453039	353	194	131	222	9
465	P50213	P28241	0.51902173913	360	15	191	169	8
589	Q9BRS2	Q12196	0.404867256637	432	188	183	249	20
1387	P00846	P00854	0.336206896552	225	35	78	147	7
1265	Q8TCT9	P34248	0.26455026455	365	234	100	265	13
416	Q13601	P25586	0.596214511041	313	71	189	124	4
117	Q9Y2I7	P34756	0.278670953912	1779	818	520	1259	87
1403	P26885	P32472	0.489051094891	132	13	67	65	5
933	Q06265	Q05636	0.356902356902	291	162	106	185	6
935	P53007	P38152	0.360269360269	291	28	107	184	6
798	Q9GZT4	P36007	0.401812688822	325	16	133	192	6
1090	Q9HAB8	P40506	0.387622149837	297	82	119	178	10
1803	P12956	P32807	0.195578231293	566	79	115	451	22
1275	Q8WWH5	P48567	0.31724137931	279	194	92	187	11
758	Q8TED0	Q04305	0.298804780876	487	57	150	337	15
1028	P61962	Q12523	0.383233532934	323	219	128	195	11
700	Q969Y2	P32559	0.354124748491	486	46	176	310	11
1914	Q15543	P11747	0.264150943396	103	85	28	75	3
706	Q7Z4G4	Q12463	0.341801385681	422	52	148	274	11
1043	Q9BPX3	Q06680	0.227642276423	946	158	224	722	38
397	P35520	P32582	0.425925925926	477	104	207	270	9
1075	Q14249	P08466	0.354515050167	289	48	106	183	10
795	Q06203	P04046	0.327380952381	489	49	165	324	15
1694	Q9UK45	P53905	0.435643564356	97	24	44	53	4
330	P00966	P22768	0.492788461538	411	10	205	206	5
381	P51659	Q02207	0.440129449838	603	430	272	331	15
615	Q5JPH6	P48525	0.353281853282	504	51	183	321	14
98	P14735	Q06010	0.371541501976	998	50	376	622	14
721	P25788	P21242	0.503875968992	254	35	130	124	4
908	Q13868	P38792	0.418918918919	286	80	124	162	10
1151	O15144	P53731	0.361290322581	295	52	112	183	15
1447	O14777	P40460	0.224052718287	581	171	136	445	26
1799	P62314	Q02260	0.454545454545	117	31	55	62	4
711	Q9UBZ9	P12689	0.280459770115	830	576	244	586	40
357	P04181	P07991	0.521739130435	407	49	216	191	7
383	Q96G46	Q06053	0.37519872814	608	102	236	372	21
704	P00414	P00420	0.433460076046	261	8	114	147	2
344	O00743	P20604	0.62012987013	305	6	191	114	3
860	Q14232	P14741	0.413114754098	301	8	126	175	4
2024	Q53FT3	Q08202	0.259067357513	185	73	50	135	8
84	Q8N122	P38873	0.404306220096	1220	452	507	713	34
724	Q9UK59	P24309	0.393767705382	342	265	139	203	11
965	P12004	P15873	0.353846153846	258	3	92	166	2
1331	Q9Y234	P47051	0.283950617284	313	156	92	221	11
1264	O43148	P32783	0.290167865707	398	116	121	277	19
1176	O43292	P39012	0.278458844133	547	141	159	388	24
791	Q99543	P32527	0.349315068493	421	212	153	268	17
522	P40926	P17505	0.52994011976	329	14	177	152	5
1989	Q5TGZ0	Q96VH5	0.346666666667	73	29	26	47	2
322	Q96QK1	P34110	0.349165596919	758	224	272	486	21
1003	Q9NY12	P28007	0.550264550265	181	60	104	77	8
797	P48444	P43621	0.317919075145	499	59	165	334	20
1658	O43513	Q08278	0.324468085106	180	95	61	119	8
106	P43246	P25847	0.418378378378	909	80	387	522	16
1469	Q9UK41	Q02767	0.301801801802	214	35	67	147	8
1606	Q9NR50	P09032	0.22440087146	442	146	103	339	17
1884	Q9HD47	P47123	0.266666666667	173	58	48	125	7
1400	Q9Y3A2	P34247	0.314516129032	243	17	78	165	5
1898	P24539	P05626	0.214574898785	239	22	53	186	8
1991	Q9Y3B4	P40565	0.284615384615	125	23	37	88	5
1373	P49755	P54837	0.365384615385	201	28	76	125	7
544	Q13144	P32501	0.281869688385	685	63	199	486	21
1890	Q6ICL3	P53275	0.285714285714	258	72	78	180	15
601	Q9UBP6	Q12009	0.56640625	252	58	145	107	4
1680	P23025	P28519	0.264084507042	268	108	75	193	16
1737	P57740	P52891	0.206085753804	695	261	149	546	28
239	Q9BSC4	P48234	0.405604719764	659	77	275	384	19
408	P46199	P25038	0.32892804699	664	75	224	440	17
1479	Q9UBS8	Q04638	0.245327102804	409	120	105	304	19
411	O00232	Q12250	0.407158836689	441	19	182	259	6
58	Q9H9T3	Q02908	0.733695652174	546	12	405	141	6
937	Q15800	P53045	0.368243243243	290	22	109	181	6
285	P51649	P38067	0.465863453815	491	50	232	259	7
541	O95363	P08425	0.389277389277	415	90	167	248	14
1629	Q9NZM5	Q12080	0.245412844037	416	101	107	309	20
308	Q9NY93	Q06218	0.433823529412	534	73	236	298	10
1152	O15145	Q05933	0.443820224719	173	10	79	94	5
1735	P52434	P20436	0.344827586207	139	18	50	89	6
1691	P60002	P36053	0.47619047619	82	64	40	42	2
196	Q9Y2Z2	P53070	0.45889387145	655	76	307	348	14
371	Q9Y2R4	P45818	0.409660107335	545	73	229	316	14
295	P20585	P25336	0.319761668322	975	205	322	653	32
1574	O60931	P17261	0.279352226721	235	157	69	166	12
320	Q9Y276	P32839	0.490476190476	414	47	206	208	6
1144	Q9BTE6	P53960	0.305084745763	401	66	126	275	12
