cluster	protein1	protein2	overall_score	total_align_length	total_gap_length	total_perfect_align	total_nonperfect_align	n_gaps	bitscore	H.sapiens_ProteinID	S.cerevisiae_ProteinID	H.sapiens_GeneID	S.cerevisiae_GeneID	H.sapiens_structure	S.cerevisiae_structure	name	length	secondaryIdentifier	primaryIdentifier	hyperlink	any_structure	auxotrophic	non_respiratory	non_carbon_using
1862	Q9H1Y0	Q12380	0.242647058824	262	45	66	196	10	68	Q9H1Y0	Q12380	ATG5	ATG5	TRUE	TRUE	AuTophaGy related	885	YPL149W	S000006070	https://www.yeastgenome.org/locus/S000006070	TRUE	FALSE	TRUE	FALSE
87	P25705	P07251	0.702752293578	541	16	383	158	4	742	P25705	P07251	ATP5F1A	ATP1	FALSE	TRUE	ATP synthase	1638	YBL099W	S000000195	https://www.yeastgenome.org/locus/S000000195	TRUE	FALSE	TRUE	TRUE
91	P06576	P00830	0.735922330097	510	20	379	131	5	733	P06576	P00830	ATP5F1B	ATP2	FALSE	TRUE	ATP synthase	1536	YJR121W	S000003882	https://www.yeastgenome.org/locus/S000003882	TRUE	FALSE	TRUE	FALSE
1002	P36542	P38077	0.38	294	21	114	180	6	193	P36542	P38077	ATP5F1C	ATP3	FALSE	TRUE	ATP synthase	936	YBR039W	S000000243	https://www.yeastgenome.org/locus/S000000243	TRUE	FALSE	TRUE	FALSE
1898	P24539	P05626	0.214574898785	239	22	53	186	8	64	P24539	P05626	ATP5PB	ATP4	FALSE	TRUE	ATP synthase	735	YPL078C	S000005999	https://www.yeastgenome.org/locus/S000005999	TRUE	FALSE	TRUE	FALSE
1432	P48047	P09457	0.338235294118	199	27	69	130	5	121	P48047	P09457	ATP5PO	ATP5	FALSE	TRUE	ATP synthase	639	YDR298C	S000002706	https://www.yeastgenome.org/locus/S000002706	TRUE	FALSE	TRUE	FALSE
1971	O75947	P30902	0.2	159	17	33	126	6	54	O75947	P30902	ATP5PD	ATP7	FALSE	TRUE	ATP synthase	525	YKL016C	S000001499	https://www.yeastgenome.org/locus/S000001499	TRUE	FALSE	TRUE	FALSE
1397	P46952	P47096	0.382857142857	171	121	67	104	4	126	P46952	P47096	HAAO	BNA1	TRUE	TRUE	Biosynthesis of Nicotinic Acid	534	YJR025C	S000003786	https://www.yeastgenome.org/locus/S000003786	TRUE	TRUE	FALSE	FALSE
657	O15229	P38169	0.371681415929	438	70	168	270	14	275	O15229	P38169	KMO	BNA4	TRUE	TRUE	Biosynthesis of Nicotinic Acid	1383	YBL098W	S000000194	https://www.yeastgenome.org/locus/S000000194	TRUE	TRUE	FALSE	FALSE
450	Q16719	Q05979	0.453724604966	429	60	201	228	14	350	Q16719	Q05979	KYNU	BNA5	TRUE	FALSE	Biosynthesis of Nicotinic Acid	1362	YLR231C	S000004221	https://www.yeastgenome.org/locus/S000004221	TRUE	TRUE	FALSE	FALSE
786	Q15274	P43619	0.448275862069	285	22	130	155	5	238	Q15274	P43619	QPRT	BNA6	TRUE	TRUE	Biosynthesis of Nicotinic Acid	888	YFR047C	S000001943	https://www.yeastgenome.org/locus/S000001943	TRUE	TRUE	FALSE	FALSE
1071	O00764	P39988	0.354098360656	296	32	108	188	9	181	O00764	P39988	PDXK	BUD16	TRUE	FALSE	BUD site selection	939	YEL029C	S000000755	https://www.yeastgenome.org/locus/S000000755	TRUE	TRUE	FALSE	FALSE
1846	O00488	Q08004	0.370967741935	119	62	46	73	5	70	O00488	Q08004	ZNF593	BUD20	TRUE	TRUE	BUD site selection	501	YLR074C	S000004064	https://www.yeastgenome.org/locus/S000004064	TRUE	TRUE	FALSE	FALSE
752	O43709	P25627	0.464028776978	274	8	129	145	4	248	O43709	P25627	BUD23	BUD23	TRUE	TRUE	BUD site selection	828	YCR047C	S000000643	https://www.yeastgenome.org/locus/S000000643	TRUE	TRUE	FALSE	FALSE
1433	Q96S44	P53323	0.344398340249	232	50	83	149	9	121	Q96S44	P53323	TP53RK	BUD32	FALSE	TRUE	BUD site selection	786	YGR262C	S000003494	https://www.yeastgenome.org/locus/S000003494	TRUE	FALSE	TRUE	FALSE
623	O60508	P40968	0.348684210526	446	142	159	287	10	284	O60508	P40968	CDC40	CDC40	TRUE	TRUE	Cell Division Cycle	1368	YDR364C	S000002772	https://www.yeastgenome.org/locus/S000002772	TRUE	FALSE	TRUE	FALSE
875	Q5HYK3	P49017	0.439597315436	291	52	131	160	7	220	Q5HYK3	P49017	COQ5	COQ5	FALSE	TRUE	COenzyme Q	924	YML110C	S000004578	https://www.yeastgenome.org/locus/S000004578	TRUE	FALSE	TRUE	FALSE
1868	O75208	Q05779	0.236641221374	251	76	62	189	11	67	O75208	Q05779	COQ9	COQ9	TRUE	FALSE	COenzyme Q	783	YLR201C	S000004191	https://www.yeastgenome.org/locus/S000004191	TRUE	FALSE	TRUE	FALSE
128	P00395	P00401	0.580582524272	510	27	299	211	5	642	P00395	P00401	MT-CO1	COX1	TRUE	TRUE	Cytochrome c OXidase	12884	Q0045	S000007260	https://www.yeastgenome.org/locus/S000007260	TRUE	FALSE	TRUE	FALSE
1981	Q14061	Q12287	0.338461538462	63	6	22	41	2	53	Q14061	Q12287	COX17	COX17	TRUE	TRUE	Cytochrome c OXidase	210	YLL009C	S000003932	https://www.yeastgenome.org/locus/S000003932	TRUE	FALSE	TRUE	FALSE
1795	P20674	P00427	0.331125827815	147	4	50	97	4	76	P20674	P00427	COX5A	COX6	TRUE	TRUE	Cytochrome c OXidase	447	YHR051W	S000001093	https://www.yeastgenome.org/locus/S000001093	TRUE	FALSE	TRUE	FALSE
409	P32929	P31373	0.503797468354	387	25	199	188	8	370	P32929	P31373	CTH	CYS3	TRUE	TRUE	CYStathionine gamma-lyase	1185	YAL012W	S000000010	https://www.yeastgenome.org/locus/S000000010	TRUE	TRUE	TRUE	FALSE
397	P35520	P32582	0.425925925926	477	104	207	270	9	375	P35520	P32582	CBS	CYS4	TRUE	TRUE	CYStathionine beta-synthase	1524	YGR155W	S000003387	https://www.yeastgenome.org/locus/S000003387	TRUE	TRUE	TRUE	FALSE
537	P08574	P07143	0.513333333333	294	46	154	140	6	305	P08574	P07143	CYC1	CYT1	TRUE	TRUE	CYTochrome c1	930	YOR065W	S000005591	https://www.yeastgenome.org/locus/S000005591	TRUE	FALSE	TRUE	FALSE
961	O43633	P36108	0.440528634361	222	10	100	122	5	201	O43633	P36108	CHMP2A	DID4	FALSE	TRUE	Doa4-Independent Degradation	767	YKL002W	S000001485	https://www.yeastgenome.org/locus/S000001485	TRUE	FALSE	TRUE	FALSE
499	Q9Y263	P36037	0.330995792426	686	138	236	450	27	329	Q9Y263	P36037	PLAA	DOA1	TRUE	TRUE	Degradation Of Alpha	2148	YKL213C	S000001696	https://www.yeastgenome.org/locus/S000001696	TRUE	TRUE	FALSE	FALSE
1579	Q9UM13	P53068	0.289473684211	185	65	55	130	5	103	Q9UM13	P53068	ANAPC10	DOC1	TRUE	TRUE	Destruction Of Cyclin B	753	YGL240W	S000003209	https://www.yeastgenome.org/locus/S000003209	TRUE	FALSE	TRUE	FALSE
378	O95470	Q05567	0.372134038801	552	53	211	341	15	387	O95470	Q05567	SGPL1	DPL1	TRUE	TRUE	Dihydrosphingosine Phosphate Lyase	1770	YDR294C	S000002702	https://www.yeastgenome.org/locus/S000002702	TRUE	TRUE	FALSE	FALSE
422	Q6IA86	P42935	0.316730523627	751	112	248	503	32	365	Q6IA86	P42935	ELP2	ELP2	FALSE	TRUE	ELongator Protein	2367	YGR200C	S000003432	https://www.yeastgenome.org/locus/S000003432	TRUE	FALSE	TRUE	FALSE
1860	Q96EB1	Q02884	0.257985257985	385	110	105	280	22	68	Q96EB1	Q02884	ELP4	ELP4	FALSE	TRUE	ELongator Protein	1371	YPL101W	S000006022	https://www.yeastgenome.org/locus/S000006022	TRUE	FALSE	TRUE	FALSE
1627	Q99720	P32352	0.305936073059	212	21	67	145	7	97	Q99720	P32352	SIGMAR1	ERG2	TRUE	FALSE	ERGosterol biosynthesis	669	YMR202W	S000004815	https://www.yeastgenome.org/locus/S000004815	TRUE	TRUE	FALSE	FALSE
1037	Q9BV79	P38071	0.354107648725	341	71	125	216	12	187	Q9BV79	P38071	MECR	ETR1	TRUE	FALSE	2-Enoyl Thioester Reductase	1143	YBR026C	S000000230	https://www.yeastgenome.org/locus/S000000230	TRUE	TRUE	TRUE	FALSE
137	P07954	P08417	0.646341463415	487	24	318	169	5	623	P07954	P08417	FH	FUM1	TRUE	TRUE	FUMarase	1467	YPL262W	S000006183	https://www.yeastgenome.org/locus/S000006183	TRUE	FALSE	TRUE	TRUE
491	P07902	P08431	0.450980392157	352	41	161	191	5	331	P07902	P08431	GALT	GAL7	TRUE	FALSE	GALactose metabolism	1101	YBR018C	S000000222	https://www.yeastgenome.org/locus/S000000222	TRUE	FALSE	FALSE	TRUE
347	Q9P2K8	P15442	0.267463813719	1527	254	425	1102	62	406	Q9P2K8	P15442	EIF2AK4	GCN2	FALSE	TRUE	General Control Nonderepressible	4980	YDR283C	S000002691	https://www.yeastgenome.org/locus/S000002691	TRUE	TRUE	FALSE	FALSE
860	Q14232	P14741	0.413114754098	301	8	126	175	4	223	Q14232	P14741	EIF2B1	GCN3	TRUE	TRUE	General Control Nonderepressible	918	YKR026C	S000001734	https://www.yeastgenome.org/locus/S000001734	TRUE	TRUE	FALSE	FALSE
1535	Q99471	Q04493	0.360759493671	154	9	57	97	4	109	Q99471	Q04493	PFDN5	GIM5	TRUE	FALSE	Gene Involved in Microtubule biogenesis	575	YML094W	S000004559	https://www.yeastgenome.org/locus/S000004559	TRUE	FALSE	TRUE	FALSE
1477	Q86SX6	Q02784	0.405594405594	138	31	58	80	5	116	Q86SX6	Q02784	GLRX5	GRX5	TRUE	TRUE	GlutaRedoXin	453	YPL059W	S000005980	https://www.yeastgenome.org/locus/S000005980	TRUE	TRUE	TRUE	FALSE
253	P48506	P32477	0.431279620853	618	79	273	345	15	476	P48506	P32477	GCLC	GSH1	FALSE	TRUE	glutathione (GSH)	2037	YJL101C	S000003637	https://www.yeastgenome.org/locus/S000003637	TRUE	TRUE	TRUE	FALSE
568	P49915	P38625	0.377323420074	519	180	203	316	19	299	P49915	P38625	GMPS	GUA1	TRUE	FALSE	GUanine Auxotroph	1578	YMR217W	S000004830	https://www.yeastgenome.org/locus/S000004830	TRUE	TRUE	FALSE	FALSE
1336	P25208	P13434	0.455782312925	143	65	67	76	4	136	P25208	P13434	NFYB	HAP3	TRUE	FALSE	Heme Activator Protein	435	YBL021C	S000000117	https://www.yeastgenome.org/locus/S000000117	TRUE	FALSE	TRUE	FALSE
429	P06132	P32347	0.511049723757	356	17	185	171	6	362	P06132	P32347	UROD	HEM12	TRUE	FALSE	HEMe biosynthesis	1089	YDR047W	S000002454	https://www.yeastgenome.org/locus/S000002454	TRUE	TRUE	FALSE	TRUE
1516	P50336	P40012	0.242362525458	469	78	119	350	22	111	P50336	P40012	PPOX	HEM14	TRUE	FALSE	HEMe biosynthesis	1620	YER014W	S000000816	https://www.yeastgenome.org/locus/S000000816	TRUE	FALSE	TRUE	TRUE
825	Q9H0R6	Q03557	0.327510917031	448	96	150	298	10	229	Q9H0R6	Q03557	QRSL1	HER2	FALSE	TRUE	Hmg2p ER Remodeling	1395	YMR293C	S000004907	https://www.yeastgenome.org/locus/S000004907	TRUE	FALSE	TRUE	FALSE
746	O14744	P38274	0.287519747235	611	242	182	429	22	249	O14744	P38274	PRMT5	HSL7	TRUE	FALSE	Histone Synthetic Lethal	2484	YBR133C	S000000337	https://www.yeastgenome.org/locus/S000000337	TRUE	TRUE	FALSE	FALSE
1029	Q5MNZ6	P50079	0.344729344729	338	116	121	217	13	188	Q5MNZ6	P50079	WDR45B	HSV2	TRUE	FALSE	Homologous with SVP1	1347	YGR223C	S000003455	https://www.yeastgenome.org/locus/S000003455	TRUE	TRUE	FALSE	FALSE
1801	Q5T440	P47158	0.269886363636	333	187	95	238	19	76	Q5T440	P47158	IBA57	IBA57	TRUE	FALSE	Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins	1494	YJR122W	S000003883	https://www.yeastgenome.org/locus/S000003883	TRUE	TRUE	TRUE	FALSE
645	Q9NQH7	P40051	0.336048879837	478	62	165	313	13	280	Q9NQH7	P40051	XPNPEP3	ICP55	TRUE	TRUE	Intermediate Cleaving Peptidase	1536	YER078C	S000000880	https://www.yeastgenome.org/locus/S000000880	TRUE	FALSE	TRUE	FALSE
465	P50213	P28241	0.51902173913	360	15	191	169	8	343	P50213	P28241	IDH3A	IDH2	TRUE	TRUE	Isocitrate DeHydrogenase	1110	YOR136W	S000005662	https://www.yeastgenome.org/locus/S000005662	TRUE	FALSE	FALSE	TRUE
408	P46199	P25038	0.32892804699	664	75	224	440	17	371	P46199	P25038	MTIF2	IFM1	TRUE	FALSE	Initiation Factor of Mitochondria	2031	YOL023W	S000005383	https://www.yeastgenome.org/locus/S000005383	TRUE	FALSE	TRUE	TRUE
223	O95163	Q06706	0.293469708891	1235	211	373	862	36	510	O95163	Q06706	ELP1	IKI3	TRUE	TRUE	Insensitive to KIller toxin	4050	YLR384C	S000004376	https://www.yeastgenome.org/locus/S000004376	TRUE	FALSE	TRUE	FALSE
217	Q9NPH2	P11986	0.508704061896	509	73	263	246	8	517	Q9NPH2	P11986	ISYNA1	INO1	FALSE	TRUE	INOsitol requiring	1602	YJL153C	S000003689	https://www.yeastgenome.org/locus/S000003689	TRUE	TRUE	FALSE	FALSE
64	Q9ULG1	P53115	0.392772977219	1225	595	500	725	48	806	Q9ULG1	P53115	INO80	INO80	TRUE	TRUE	INOsitol requiring	4470	YGL150C	S000003118	https://www.yeastgenome.org/locus/S000003118	TRUE	TRUE	FALSE	TRUE
1202	Q9NYA1	Q06147	0.259946949602	361	349	98	263	16	156	Q9NYA1	Q06147	SPHK1	LCB5	TRUE	FALSE	Long-Chain Base	2064	YLR260W	S000004250	https://www.yeastgenome.org/locus/S000004250	TRUE	FALSE	TRUE	FALSE
1246	Q8WVC0	P38439	0.274336283186	431	268	124	307	21	148	Q8WVC0	P38439	LEO1	LEO1	TRUE	FALSE	LEft Open reading frame	1395	YOR123C	S000005649	https://www.yeastgenome.org/locus/S000005649	TRUE	TRUE	FALSE	FALSE
195	P09622	P09624	0.55	491	26	275	216	9	545	P09622	P09624	DLD	LPD1	TRUE	TRUE	LiPoamide Dehydrogenase	1500	YFL018C	S000001876	https://www.yeastgenome.org/locus/S000001876	TRUE	FALSE	TRUE	FALSE
1640	O15116	P47017	0.36641221374	125	55	48	77	6	96	O15116	P47017	LSM1	LSM1	FALSE	TRUE	Like SM	519	YJL124C	S000003660	https://www.yeastgenome.org/locus/S000003660	TRUE	FALSE	TRUE	FALSE
1560	Q9H063	P41910	0.249011857708	239	173	63	176	14	105	Q9H063	P41910	MAF1	MAF1	TRUE	FALSE		1268	YDR005C	S000002412	https://www.yeastgenome.org/locus/S000002412	TRUE	FALSE	TRUE	TRUE
522	P40926	P17505	0.52994011976	329	14	177	152	5	314	P40926	P17505	MDH2	MDH1	TRUE	TRUE	Malate DeHydrogenase	1005	YKL085W	S000001568	https://www.yeastgenome.org/locus/S000001568	TRUE	FALSE	TRUE	TRUE
1949	O43715	O60200	0.358974358974	75	12	28	47	3	57	O43715	O60200	TRIAP1	MDM35	TRUE	TRUE	Mitochondrial Distribution and Morphology	261	YKL053C-A	S000007243	https://www.yeastgenome.org/locus/S000007243	TRUE	TRUE	FALSE	FALSE
796	O95202	Q08179	0.307832422587	526	260	169	357	23	235	O95202	Q08179	LETM1	MDM38	FALSE	TRUE	Mitochondrial Distribution and Morphology	1722	YOL027C	S000005387	https://www.yeastgenome.org/locus/S000005387	TRUE	FALSE	TRUE	FALSE
282	P42898	P53128	0.410684474124	583	90	246	337	16	458	P42898	P53128	MTHFR	MET13	TRUE	FALSE	METhionine requiring	1803	YGL125W	S000003093	https://www.yeastgenome.org/locus/S000003093	TRUE	TRUE	FALSE	FALSE
116	P54098	P15801	0.397397397397	975	543	397	578	24	660	P54098	P15801	POLG	MIP1	TRUE	FALSE	MItochondrial DNA Polymerase	3765	YOR330C	S000005857	https://www.yeastgenome.org/locus/S000005857	TRUE	FALSE	TRUE	FALSE
834	O95628	P34909	0.313883299799	471	220	156	315	26	227	O95628	P34909	CNOT4	MOT2	TRUE	TRUE	Modulator Of Transcription	1764	YER068W	S000000870	https://www.yeastgenome.org/locus/S000000870	TRUE	FALSE	TRUE	FALSE
2028	P82932	P28778	0.261904761905	120	16	33	87	6	44	P82932	P28778	MRPS6	MRP17	TRUE	TRUE	Mitochondrial Ribosomal Protein	396	YKL003C	S000001486	https://www.yeastgenome.org/locus/S000001486	TRUE	FALSE	TRUE	FALSE
2015	O60783	P10663	0.275862068966	112	19	32	80	4	47	O60783	P10663	MRPS14	MRP2	TRUE	TRUE	Mitochondrial Ribosomal Protein	348	YPR166C	S000006370	https://www.yeastgenome.org/locus/S000006370	TRUE	FALSE	TRUE	FALSE
1998	Q16540	P32387	0.24025974026	148	120	37	111	6	50	Q16540	P32387	MRPL23	MRP20	TRUE	TRUE	Mitochondrial Ribosomal Protein	792	YDR405W	S000002813	https://www.yeastgenome.org/locus/S000002813	TRUE	FALSE	TRUE	FALSE
1925	Q9H2W6	P36528	0.246031746032	242	76	62	180	10	61	Q9H2W6	P36528	MRPL46	MRPL17	TRUE	TRUE	Mitochondrial Ribosomal Protein, Large subunit	846	YNL252C	S000005196	https://www.yeastgenome.org/locus/S000005196	TRUE	FALSE	TRUE	FALSE
1452	Q9Y3B7	P53875	0.409395973154	145	60	61	84	4	119	Q9Y3B7	P53875	MRPL11	MRPL19	TRUE	FALSE	Mitochondrial Ribosomal Protein, Large subunit	477	YNL185C	S000005129	https://www.yeastgenome.org/locus/S000005129	TRUE	FALSE	TRUE	FALSE
1670	Q9BYD1	Q12487	0.333333333333	160	21	55	105	5	93	Q9BYD1	Q12487	MRPL13	MRPL23	TRUE	TRUE	Mitochondrial Ribosomal Protein, Large subunit	492	YOR150W	S000005676	https://www.yeastgenome.org/locus/S000005676	TRUE	FALSE	TRUE	FALSE
2038	Q9BYC8	P25348	0.165714285714	167	37	29	138	8	42	Q9BYC8	P25348	MRPL32	MRPL32	TRUE	TRUE	Mitochondrial Ribosomal Protein, Large subunit	552	YCR003W	S000000596	https://www.yeastgenome.org/locus/S000000596	TRUE	FALSE	TRUE	FALSE
2034	Q8N983	Q06090	0.219858156028	137	81	31	106	4	43	Q8N983	Q06090	MRPL43	MRPL51	TRUE	TRUE	Mitochondrial Ribosomal Protein, Large subunit	423	YPR100W	S000006304	https://www.yeastgenome.org/locus/S000006304	TRUE	FALSE	TRUE	FALSE
1945	Q9NRX2	P22353	0.251461988304	166	81	43	123	5	58	Q9NRX2	P22353	MRPL17	MRPL8	TRUE	TRUE	Mitochondrial Ribosomal Protein, Large subunit	717	YJL063C	S000003599	https://www.yeastgenome.org/locus/S000003599	TRUE	FALSE	TRUE	FALSE
1291	P09001	P31334	0.338181818182	262	93	93	169	13	142	P09001	P31334	MRPL3	MRPL9	TRUE	TRUE	Mitochondrial Ribosomal Protein, Large subunit	810	YGR220C	S000003452	https://www.yeastgenome.org/locus/S000003452	TRUE	FALSE	TRUE	FALSE
1509	O15235	P53732	0.474820143885	133	25	66	67	6	112	O15235	P53732	MRPS12	MRPS12	TRUE	TRUE	Mitochondrial Ribosomal Protein, Small subunit	462	YNR036C	S000005319	https://www.yeastgenome.org/locus/S000005319	TRUE	FALSE	TRUE	TRUE
1939	Q9Y3D3	Q02608	0.344827586207	111	36	40	71	5	59	Q9Y3D3	Q02608	MRPS16	MRPS16	TRUE	TRUE	Mitochondrial Ribosomal Protein, Small subunit	366	YPL013C	S000005934	https://www.yeastgenome.org/locus/S000005934	TRUE	FALSE	TRUE	FALSE
553	Q6PI48	P15179	0.346405228758	590	123	212	378	22	302	Q6PI48	P15179	DARS2	MSD1	TRUE	FALSE	Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D)	1977	YPL104W	S000006025	https://www.yeastgenome.org/locus/S000006025	TRUE	FALSE	TRUE	FALSE
541	O95363	P08425	0.389277389277	415	90	167	248	14	304	O95363	P08425	FARS2	MSF1	TRUE	FALSE	Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)	1410	YPR047W	S000006251	https://www.yeastgenome.org/locus/S000006251	TRUE	FALSE	TRUE	FALSE
106	P43246	P25847	0.418378378378	909	80	387	522	16	680	P43246	P25847	MSH2	MSH2	TRUE	FALSE	MutS Homolog	2895	YOL090W	S000005450	https://www.yeastgenome.org/locus/S000005450	TRUE	TRUE	FALSE	FALSE
1315	Q9HAV4	P52918	0.196443691787	1130	168	232	898	51	139	Q9HAV4	P52918	XPO5	MSN5	TRUE	FALSE	Multicopy suppressor of SNf1 mutation	3675	YDR335W	S000002743	https://www.yeastgenome.org/locus/S000002743	TRUE	TRUE	FALSE	FALSE
755	Q9UGM6	P04803	0.379781420765	357	25	139	218	9	248	Q9UGM6	P04803	WARS2	MSW1	TRUE	FALSE	Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)	1140	YDR268W	S000002676	https://www.yeastgenome.org/locus/S000002676	TRUE	FALSE	TRUE	TRUE
726	Q9Y2Z4	P48527	0.324152542373	462	45	153	309	10	255	Q9Y2Z4	P48527	YARS2	MSY1	TRUE	FALSE	Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)	1479	YPL097W	S000006018	https://www.yeastgenome.org/locus/S000006018	TRUE	FALSE	TRUE	FALSE
1323	Q9UMS0	P32860	0.370044052863	216	78	84	132	11	138	Q9UMS0	P32860	NFU1	NFU1	TRUE	TRUE	NifU-like protein	771	YKL040C	S000001523	https://www.yeastgenome.org/locus/S000001523	TRUE	FALSE	TRUE	FALSE
981	Q86X76	P47016	0.388111888112	279	76	111	168	7	197	Q86X76	P47016	NIT1	NIT2	FALSE	TRUE	NITrilase superfamily	924	YJL126W	S000003662	https://www.yeastgenome.org/locus/S000003662	TRUE	FALSE	TRUE	FALSE
1762	Q8N7H5	P38351	0.23488372093	408	160	101	307	22	80	Q8N7H5	P38351	PAF1	PAF1	TRUE	TRUE	RNA Polymerase II Associated Factor	1338	YBR279W	S000000483	https://www.yeastgenome.org/locus/S000000483	TRUE	TRUE	FALSE	FALSE
338	P11177	P32473	0.567123287671	358	9	207	151	7	411	P11177	P32473	PDHB	PDB1	TRUE	FALSE	Pyruvate Dehydrogenase Beta subunit	1101	YBR221C	S000000425	https://www.yeastgenome.org/locus/S000000425	TRUE	TRUE	FALSE	FALSE
1089	Q9P253	P27801	0.221468926554	851	189	196	655	34	178	Q9P253	P27801	VPS18	PEP3	FALSE	TRUE	carboxyPEPtidase Y-deficient	2757	YLR148W	S000004138	https://www.yeastgenome.org/locus/S000004138	TRUE	FALSE	TRUE	FALSE
1543	Q9H1K0	P32609	0.234782608696	434	431	108	326	26	108	Q9H1K0	P32609	RBSN	PEP7	TRUE	FALSE	carboxyPEPtidase Y-deficient	1548	YDR323C	S000002731	https://www.yeastgenome.org/locus/S000002731	TRUE	FALSE	TRUE	FALSE
944	O75879	P33893	0.302504816956	501	96	157	344	18	203	O75879	P33893	GATB	PET112	FALSE	TRUE	PETite colonies	1626	YBL080C	S000000176	https://www.yeastgenome.org/locus/S000000176	TRUE	FALSE	TRUE	FALSE
1568	Q92968	P80667	0.279202279202	335	119	98	237	16	104	Q92968	P80667	PEX13	PEX13	FALSE	TRUE	PEroXin	1161	YLR191W	S000004181	https://www.yeastgenome.org/locus/S000004181	TRUE	FALSE	FALSE	TRUE
1725	O75381	P53112	0.218241042345	294	130	67	227	13	86	O75381	P53112	PEX14	PEX14	TRUE	TRUE	PEroXisome related	1026	YGL153W	S000003121	https://www.yeastgenome.org/locus/S000003121	TRUE	FALSE	FALSE	TRUE
1972	P56589	P28795	0.203342618384	341	132	73	268	18	54	P56589	P28795	PEX3	PEX3	TRUE	FALSE	PEroXin	1326	YDR329C	S000002737	https://www.yeastgenome.org/locus/S000002737	TRUE	FALSE	FALSE	TRUE
1161	O00628	P39108	0.327044025157	309	80	104	205	9	165	O00628	P39108	PEX7	PEX7	FALSE	TRUE	PEroXin	1128	YDR142C	S000002549	https://www.yeastgenome.org/locus/S000002549	TRUE	FALSE	FALSE	TRUE
498	Q9H611	P07271	0.349683544304	606	288	221	385	26	329	Q9H611	P07271	PIF1	PIF1	TRUE	TRUE	Petite Integration Frequency	2580	YML061C	S000004526	https://www.yeastgenome.org/locus/S000004526	TRUE	FALSE	TRUE	FALSE
401	Q9UBF8	P39104	0.337482710927	695	492	244	451	28	374	Q9UBF8	P39104	PI4KB	PIK1	TRUE	TRUE	Phosphatidyl Inositol Kinase	3201	YNL267W	S000005211	https://www.yeastgenome.org/locus/S000005211	TRUE	TRUE	FALSE	FALSE
