Record number	ORF	Batch	Collection	Plate	Row	Col	Comment
31876	YHR049W	chr8_2	Hom Dip	1	F	5	
31877	YHR049C-A	chr8_2	Hom Dip	1	F	6	
31878	YHR050W	chr8_2	Hom Dip	1	F	7	
31879	YHR051W	chr8_2	Hom Dip	1	F	8	Uncharacterized content
31885	YHR057C	chr8_2	Hom Dip	1	F	9	
31888	YHR060W	chr8_2	Hom Dip	1	F	10	
31889	YHR061C	chr8_2	Hom Dip	1	F	11	
31894	YHR066W	chr8_2	Hom Dip	1	F	12	
31901	YHR073W	chr8_2	Hom Dip	1	G	1	
31903	YHR075C	chr8_2	Hom Dip	1	G	2	
31904	YHR076W	chr8_2	Hom Dip	1	G	3	
31905	YHR077C	chr8_2	Hom Dip	1	G	4	
31906	YHR078W	chr8_2	Hom Dip	1	G	5	
31907	YHR079C	chr8_2	Hom Dip	1	G	6	
31908	YHR080C	chr8_2	Hom Dip	1	G	7	
31909	YHR081W	chr8_2	Hom Dip	1	G	8	
31910	YHR082C	chr8_2	Hom Dip	1	G	9	
31914	YHR086W	chr8_2	Hom Dip	1	G	10	
31915	YHR087W	chr8_2	Hom Dip	1	G	11	
31919	YHR091C	chr8_2	Hom Dip	1	G	12	Uncharacterized content
31920	YHR092C	chr8_2	Hom Dip	1	H	1	
31921	YHR093W	chr8_2	Hom Dip	1	H	2	
31922	YHR094C	chr8_2	Hom Dip	1	H	3	
31923	YHR095W	chr8_2	Hom Dip	1	H	4	
31924	YHR096C	chr8_2	Hom Dip	1	H	5	
31925	YHR097C	chr8_2	Hom Dip	1	H	6	
31928	YHR100C	chr8_2	Hom Dip	1	H	7	
31931	YHR103W	chr8_2	Hom Dip	1	H	8	
31932	YHR104W	chr8_2	Hom Dip	1	H	9	
31933	YHR105W	chr8_2	Hom Dip	1	H	10	
31934	YHR106W	chr8_2	Hom Dip	1	H	11	
31936	YHR108W	chr8_2	Hom Dip	1	H	12	
31937	YHR109W	chr8_2	Hom Dip	2	A	1	
31938	YHR110W	chr8_2	Hom Dip	2	A	3	
31940	YHR112C	chr8_2	Hom Dip	2	A	4	
31939	YHR111W	chr8_2	Hom Dip	2	A	5	
31941	YHR113W	chr8_2	Hom Dip	2	A	6	
31942	YHR114W	chr8_2	Hom Dip	2	A	7	
31943	YHR115C	chr8_2	Hom Dip	2	A	8	
31944	YHR116W	chr8_2	Hom Dip	2	A	9	Uncharacterized content
31945	YHR117W	chr8_2	Hom Dip	2	A	10	
31948	YHR120W	chr8_2	Hom Dip	2	A	11	Uncharacterized content
31949	YHR121W	chr8_2	Hom Dip	2	A	12	
31951	YHR123W	chr8_2	Hom Dip	2	B	1	
31952	YHR124W	chr8_2	Hom Dip	2	B	2	
31953	YHR125W	chr8_2	Hom Dip	2	B	3	
31954	YHR126C	chr8_2	Hom Dip	2	B	4	
31957	YHR129C	chr8_2	Hom Dip	2	B	5	
31958	YHR130C	chr8_2	Hom Dip	2	B	6	
31960	YHR132C	chr8_2	Hom Dip	2	B	7	
31962	YHR134W	chr8_2	Hom Dip	2	B	8	
31963	YHR135C	chr8_2	Hom Dip	2	B	9	
31964	YHR136C	chr8_2	Hom Dip	2	B	10	
31965	YHR137W	chr8_2	Hom Dip	2	B	11	
31966	YHR138C	chr8_2	Hom Dip	2	B	12	
31967	YHR139C	chr8_2	Hom Dip	2	C	1	
31968	YHR139C-A	chr8_2	Hom Dip	2	C	2	
32835	YHR142W	chr8_3	Hom Dip	2	C	3	
32836	YHR143W	chr8_3	Hom Dip	2	C	4	
32841	YHR147C	chr8_3	Hom Dip	2	C	5	Uncharacterized content
32844	YHR150W	chr8_3	Hom Dip	2	C	6	
32845	YHR151C	chr8_3	Hom Dip	2	C	7	
31961	YHR133C	chr8_2	Hom Dip	2	C	8	
32846	YHR152W	chr8_3	Hom Dip	2	C	9	
32847	YHR153C	chr8_3	Hom Dip	2	C	10	
32848	YHR154W	chr8_3	Hom Dip	2	C	11	
32849	YHR155W	chr8_3	Hom Dip	2	C	12	
32850	YHR156C	chr8_3	Hom Dip	2	D	1	
32851	YHR157W	chr8_3	Hom Dip	2	D	2	
32852	YHR158C	chr8_3	Hom Dip	2	D	3	
32853	YHR159W	chr8_3	Hom Dip	2	D	4	
32854	YHR160C	chr8_3	Hom Dip	2	D	5	
32855	YHR161C	chr8_3	Hom Dip	2	D	6	
32857	YHR163W	chr8_3	Hom Dip	2	D	7	
32861	YHR167W	chr8_3	Hom Dip	2	D	8	
32870	YHR176W	chr8_3	Hom Dip	2	D	9	
32871	YHR177W	chr8_3	Hom Dip	2	D	10	
32872	YHR178W	chr8_3	Hom Dip	2	D	11	
32873	YHR179W	chr8_3	Hom Dip	2	D	12	
32876	YHR182W	chr8_3	Hom Dip	2	E	1	
32877	YHR183W	chr8_3	Hom Dip	2	E	2	
32878	YHR184W	chr8_3	Hom Dip	2	E	3	
32883	YHR189W	chr8_3	Hom Dip	2	E	4	
32889	YHR195W	chr8_3	Hom Dip	2	E	5	
32892	YHR198C	chr8_3	Hom Dip	2	E	6	
32893	YHR199C	chr8_3	Hom Dip	2	E	7	
32894	YHR200W	chr8_3	Hom Dip	2	E	8	
32896	YHR202W	chr8_3	Hom Dip	2	E	9	
32897	YHR203C	chr8_3	Hom Dip	2	E	10	
32898	YHR204W	chr8_3	Hom Dip	2	E	11	
32900	YHR206W	chr8_3	Hom Dip	2	E	12	
32901	YHR207C	chr8_3	Hom Dip	2	F	1	
32903	YHR209W	chr8_3	Hom Dip	2	F	2	
32904	YHR210C	chr8_3	Hom Dip	2	F	3	
34657	YGR027C	chr7_4	Hom Dip	2	F	4	
34661	YGR031W	chr7_4	Hom Dip	2	F	5	
34663	YGR033C	chr7_4	Hom Dip	2	F	6	
34664	YGR034W	chr7_4	Hom Dip	2	F	7	
34665	YGR035C	chr7_4	Hom Dip	2	F	8	
34666	YGR036C	chr7_4	Hom Dip	2	F	9	Uncharacterized content
34667	YGR037C	chr7_4	Hom Dip	2	F	10	
34669	YGR039W	chr7_4	Hom Dip	2	F	11	
34671	YGR041W	chr7_4	Hom Dip	2	F	12	
34672	YGR042W	chr7_4	Hom Dip	2	G	1	
34673	YGR043C	chr7_4	Hom Dip	2	G	2	
34674	YGR044C	chr7_4	Hom Dip	2	G	3	
34675	YGR045C	chr7_4	Hom Dip	2	G	4	
34679	YGR049W	chr7_4	Hom Dip	2	G	5	
34681	YGR051C	chr7_4	Hom Dip	2	G	6	
34682	YGR052W	chr7_4	Hom Dip	2	G	7	
34684	YGR054W	chr7_4	Hom Dip	2	G	8	
34685	YGR055W	chr7_4	Hom Dip	2	G	9	
34686	YGR056W	chr7_4	Hom Dip	2	G	10	
34687	YGR057C	chr7_4	Hom Dip	2	G	11	
34688	YGR058W	chr7_4	Hom Dip	2	G	12	
34689	YGR059W	chr7_4	Hom Dip	2	H	1	
34691	YGR061C	chr7_4	Hom Dip	2	H	2	
34692	YGR062C	chr7_4	Hom Dip	2	H	3	Uncharacterized content
34694	YGR064W	chr7_4	Hom Dip	2	H	4	
34696	YGR066C	chr7_4	Hom Dip	2	H	5	
34697	YGR067C	chr7_4	Hom Dip	2	H	6	
34698	YGR068C	chr7_4	Hom Dip	2	H	7	
34699	YGR069W	chr7_4	Hom Dip	2	H	8	
34700	YGR070W	chr7_4	Hom Dip	2	H	9	
34701	YGR071C	chr7_4	Hom Dip	2	H	10	
34702	YGR072W	chr7_4	Hom Dip	2	H	11	
34706	YGR076C	chr7_4	Hom Dip	2	H	12	Uncharacterized content
34707	YGR077C	chr7_4	Hom Dip	3	A	1	
34708	YGR078C	chr7_4	Hom Dip	3	A	2	
34709	YGR079W	chr7_4	Hom Dip	3	A	4	
34710	YGR080W	chr7_4	Hom Dip	3	A	5	
34711	YGR081C	chr7_4	Hom Dip	3	A	6	
34714	YGR084C	chr7_4	Hom Dip	3	A	7	
34715	YGR085C	chr7_4	Hom Dip	3	A	8	
34717	YGR087C	chr7_4	Hom Dip	3	A	9	
34718	YGR088W	chr7_4	Hom Dip	3	A	10	
34726	YGR096W	chr7_4	Hom Dip	3	A	11	
34727	YGR097W	chr7_4	Hom Dip	3	A	12	
34730	YGR100W	chr7_4	Hom Dip	3	B	1	
34731	YGR101W	chr7_4	Hom Dip	3	B	2	Uncharacterized content
34732	YGR102C	chr7_4	Hom Dip	3	B	3	Uncharacterized content
34734	YGR104C	chr7_4	Hom Dip	3	B	4	
34735	YGR105W	chr7_4	Hom Dip	3	B	5	
34737	YGR107W	chr7_4	Hom Dip	3	B	6	
34738	YGR108W	chr7_4	Hom Dip	3	B	7	
34739	YGR109C	chr7_4	Hom Dip	3	B	8	
34741	YGR111W	chr7_4	Hom Dip	3	B	9	
34742	YGR112W	chr7_4	Hom Dip	3	B	10	Uncharacterized content
34748	YGR118W	chr7_4	Hom Dip	3	B	11	
34751	YGR121C	chr7_4	Hom Dip	3	B	12	
34752	YGR122W	chr7_4	Hom Dip	3	C	1	
35041	YKL191W	chr11_3	Hom Dip	3	C	2	
35047	YKL197C	chr11_3	Hom Dip	3	C	3	
35048	YKL198C	chr11_3	Hom Dip	3	C	4	
35049	YKL199C	chr11_3	Hom Dip	3	C	5	
35055	YKL205W	chr11_3	Hom Dip	3	C	6	
35050	YKL200C	chr11_3	Hom Dip	3	C	7	
35056	YKL206C	chr11_3	Hom Dip	3	C	8	
35057	YKL207W	chr11_3	Hom Dip	3	C	9	
35058	YKL208W	chr11_3	Hom Dip	3	C	10	
35061	YKL211C	chr11_3	Hom Dip	3	C	11	
35062	YKL212W	chr11_3	Hom Dip	3	C	12	Uncharacterized content
35063	YKL213C	chr11_3	Hom Dip	3	D	1	
35064	YKL214C	chr11_3	Hom Dip	3	D	2	
35066	YKL216W	chr11_3	Hom Dip	3	D	3	
35067	YKL217W	chr11_3	Hom Dip	3	D	4	
35068	YKL218C	chr11_3	Hom Dip	3	D	5	
35070	YKL221W	chr11_3	Hom Dip	3	D	6	
35071	YKL222C	chr11_3	Hom Dip	3	D	7	
35072	YKR001C	chr11_3	Hom Dip	3	D	8	
35074	YKR003W	chr11_3	Hom Dip	3	D	9	
35076	YKR005C	chr11_3	Hom Dip	3	D	10	
35077	YKR006C	chr11_3	Hom Dip	3	D	11	Uncharacterized content
35078	YKR007W	chr11_3	Hom Dip	3	D	12	Uncharacterized content
35080	YKR009C	chr11_3	Hom Dip	3	E	1	
35082	YKR011C	chr11_3	Hom Dip	3	E	2	
35083	YKR012C	chr11_3	Hom Dip	3	E	3	
35084	YKR013W	chr11_3	Hom Dip	3	E	4	
35085	YKR014C	chr11_3	Hom Dip	3	E	5	
35086	YKR015C	chr11_3	Hom Dip	3	E	6	
35087	YKR016W	chr11_3	Hom Dip	3	E	7	
35088	YKR017C	chr11_3	Hom Dip	3	E	8	
35089	YKR018C	chr11_3	Hom Dip	3	E	9	
35091	YKR020W	chr11_3	Hom Dip	3	E	10	
35092	YKR021W	chr11_3	Hom Dip	3	E	11	
35095	YKR024C	chr11_3	Hom Dip	3	E	12	Uncharacterized content
35097	YKR026C	chr11_3	Hom Dip	3	F	1	
35101	YKR030W	chr11_3	Hom Dip	3	F	2	
35102	YKR031C	chr11_3	Hom Dip	3	F	3	
35103	YKR032W	chr11_3	Hom Dip	3	F	4	
35104	YKR033C	chr11_3	Hom Dip	3	F	5	
35106	YKR035C	chr11_3	Hom Dip	3	F	6	
35113	YKR042W	chr11_3	Hom Dip	3	F	7	
35114	YKR043C	chr11_3	Hom Dip	3	F	8	
35115	YKR044W	chr11_3	Hom Dip	3	F	9	
35116	YKR045C	chr11_3	Hom Dip	3	F	10	
35118	YKR047W	chr11_3	Hom Dip	3	F	11	
35119	YKR048C	chr11_3	Hom Dip	3	F	12	
35120	YKR049C	chr11_3	Hom Dip	3	G	1	
35121	YKR050W	chr11_3	Hom Dip	3	G	2	
35122	YKR051W	chr11_3	Hom Dip	3	G	3	
35123	YKR052C	chr11_3	Hom Dip	3	G	4	
35125	YKR054C	chr11_3	Hom Dip	3	G	5	
35126	YKR055W	chr11_3	Hom Dip	3	G	6	
35127	YKR056W	chr11_3	Hom Dip	3	G	7	
35128	YKR057W	chr11_3	Hom Dip	3	G	8	
35129	YKR058W	chr11_3	Hom Dip	3	G	9	
35130	YKR059W	chr11_3	Hom Dip	3	G	10	
35131	YKR060W	chr11_3	Hom Dip	3	G	11	
35132	YKR061W	chr11_3	Hom Dip	3	G	12	
35135	YKR064W	chr11_3	Hom Dip	3	H	1	
35136	YKR065C	chr11_3	Hom Dip	3	H	2	
36003	YKR087C	chr00_4	Hom Dip	3	H	3	
36004	YKR088C	chr00_4	Hom Dip	3	H	4	
36005	YKR089C	chr00_4	Hom Dip	3	H	5	
36006	YKR090W	chr00_4	Hom Dip	3	H	6	
36007	YKR091W	chr00_4	Hom Dip	3	H	7	
36008	YKR092C	chr00_4	Hom Dip	3	H	8	
36009	YKR093W	chr00_4	Hom Dip	3	H	9	
36013	YKR097W	chr00_4	Hom Dip	3	H	10	
36014	YKR098C	chr00_4	Hom Dip	3	H	11	
36015	YKR099W	chr00_4	Hom Dip	3	H	12	
36016	YKR100C	chr00_4	Hom Dip	4	A	1	
36017	YKR101W	chr00_4	Hom Dip	4	A	2	
36019	YKR103W	chr00_4	Hom Dip	4	A	3	
36020	YKR104W	chr00_4	Hom Dip	4	A	5	
36021	YKR105C	chr00_4	Hom Dip	4	A	6	
36022	YLL018C-A	chr00_4	Hom Dip	4	A	7	Uncharacterized content
36023	YLR262C-A	chr00_4	Hom Dip	4	A	8	
36025	YLR422W	chr00_4	Hom Dip	4	A	9	
36026	YLR423C	chr00_4	Hom Dip	4	A	10	
36028	YLR425W	chr00_4	Hom Dip	4	A	11	
36029	YLR426W	chr00_4	Hom Dip	4	A	12	
36030	YLR427W	chr00_4	Hom Dip	4	B	1	
36031	YLR428C	chr00_4	Hom Dip	4	B	2	
36032	YLR429W	chr00_4	Hom Dip	4	B	3	
36034	YLR431C	chr00_4	Hom Dip	4	B	4	
36035	YLR432W	chr00_4	Hom Dip	4	B	5	
36036	YLR433C	chr00_4	Hom Dip	4	B	6	
36037	YLR434C	chr00_4	Hom Dip	4	B	7	
36038	YLR435W	chr00_4	Hom Dip	4	B	8	Uncharacterized content
36039	YLR436C	chr00_4	Hom Dip	4	B	9	
36040	YLR437C	chr00_4	Hom Dip	4	B	10	
36042	YLR438W	chr00_4	Hom Dip	4	B	11	
36045	YLR441C	chr00_4	Hom Dip	4	B	12	
36047	YLR443W	chr00_4	Hom Dip	4	C	1	
36048	YLR444C	chr00_4	Hom Dip	4	C	2	
36049	YLR445W	chr00_4	Hom Dip	4	C	3	
36050	YLR446W	chr00_4	Hom Dip	4	C	4	
36051	YLR447C	chr00_4	Hom Dip	4	C	5	
36052	YLR448W	chr00_4	Hom Dip	4	C	6	
36053	YLR449W	chr00_4	Hom Dip	4	C	7	
36054	YLR450W	chr00_4	Hom Dip	4	C	8	
36055	YLR452C	chr00_4	Hom Dip	4	C	9	
36056	YLR453C	chr00_4	Hom Dip	4	C	10	
36057	YLR454W	chr00_4	Hom Dip	4	C	11	
36059	YLR456W	chr00_4	Hom Dip	4	C	12	
36063	YLR460C	chr00_4	Hom Dip	4	D	1	
36064	YLR461W	chr00_4	Hom Dip	4	D	2	
36065	YML009C	chr00_4	Hom Dip	4	D	3	
36066	YML010C-B	chr00_4	Hom Dip	4	D	4	
36067	YML021C	chr00_4	Hom Dip	4	D	5	
36068	YML081C-A	chr00_4	Hom Dip	4	D	6	Uncharacterized content
36069	YMR060C	chr00_4	Hom Dip	4	D	7	
36070	YMR158C-B	chr00_4	Hom Dip	4	D	8	
36071	YMR169C	chr00_4	Hom Dip	4	D	9	
36072	YMR174C	chr00_4	Hom Dip	4	D	10	
36073	YMR175W	chr00_4	Hom Dip	4	D	11	
36074	YMR194C-A	chr00_4	Hom Dip	4	D	12	
36075	YMR326C	chr00_4	Hom Dip	4	E	1	
36076	YNR032C-A	chr00_4	Hom Dip	4	E	2	
36077	YNR050C	chr00_4	Hom Dip	4	E	3	
36078	YNR051C	chr00_4	Hom Dip	4	E	4	
36083	YNR056C	chr00_4	Hom Dip	4	E	5	
36084	YNR057C	chr00_4	Hom Dip	4	E	6	
36085	YNR058W	chr00_4	Hom Dip	4	E	7	
36086	YNR059W	chr00_4	Hom Dip	4	E	8	
36087	YNR060W	chr00_4	Hom Dip	4	E	9	
36088	YNR061C	chr00_4	Hom Dip	4	E	10	
36089	YNR062C	chr00_4	Hom Dip	4	E	11	
36090	YNR063W	chr00_4	Hom Dip	4	E	12	
36091	YNR064C	chr00_4	Hom Dip	4	F	1	
36092	YNR065C	chr00_4	Hom Dip	4	F	2	
36093	YNR066C	chr00_4	Hom Dip	4	F	3	
36094	YNR067C	chr00_4	Hom Dip	4	F	4	
36095	YNR068C	chr00_4	Hom Dip	4	F	5	
32551	YJR073C	chr10_4	Hom Dip	4	F	6	
32553	YJR075W	chr10_4	Hom Dip	4	F	7	
32556	YJR078W	chr10_4	Hom Dip	4	F	8	
32557	YJR079W	chr10_4	Hom Dip	4	F	9	
32559	YJR082C	chr10_4	Hom Dip	4	F	10	
32560	YJR083C	chr10_4	Hom Dip	4	F	11	
32565	YJR088C	chr10_4	Hom Dip	4	F	12	
32569	YJR092W	chr10_4	Hom Dip	4	G	1	
32580	YJR102C	chr10_4	Hom Dip	4	G	2	
32581	YJR103W	chr10_4	Hom Dip	4	G	3	
32583	YJR105W	chr10_4	Hom Dip	4	G	4	
32586	YJR108W	chr10_4	Hom Dip	4	G	5	
32588	YJR110W	chr10_4	Hom Dip	4	G	6	
32589	YJR111C	chr10_4	Hom Dip	4	G	7	
32593	YJR115W	chr10_4	Hom Dip	4	G	8	
32605	YJR127C	chr10_4	Hom Dip	4	G	9	
32606	YJR128W	chr10_4	Hom Dip	4	G	10	
32607	YJR129C	chr10_4	Hom Dip	4	G	11	
32608	YJR130C	chr10_4	Hom Dip	4	G	12	
32613	YJR135C	chr10_4	Hom Dip	4	H	1	
32615	YJR137C	chr10_4	Hom Dip	4	H	2	
32624	YJR146W	chr10_4	Hom Dip	4	H	3	
32625	YJR147W	chr10_4	Hom Dip	4	H	4	
32627	YJR149W	chr10_4	Hom Dip	4	H	5	
32630	YJR152W	chr10_4	Hom Dip	4	H	6	
32632	YJR154W	chr10_4	Hom Dip	4	H	7	
36577	YEL012W	chr00_10	Hom Dip	5	A	1	
36583	YER031C	chr00_10	Hom Dip	5	A	2	
36584	YER046W	chr00_10	Hom Dip	5	A	3	
36585	YER063W	chr00_10	Hom Dip	5	A	4	
36586	YER066W	chr00_10	Hom Dip	5	A	6	
36589	YGR188C	chr00_10	Hom Dip	5	A	7	
36590	YGR201C	chr00_10	Hom Dip	5	A	8	
36591	YGR204W	chr00_10	Hom Dip	5	A	9	Uncharacterized content
36593	YHL002W	chr00_10	Hom Dip	5	A	10	
36595	YHL011C	chr00_10	Hom Dip	5	A	11	
36597	YHL039W	chr00_10	Hom Dip	5	A	12	
36600	YHR003C	chr00_10	Hom Dip	5	B	1	
36601	YHR004C	chr00_10	Hom Dip	5	B	2	
36602	YHR005C	chr00_10	Hom Dip	5	B	3	
36603	YHR006W	chr00_10	Hom Dip	5	B	4	
36605	YHR008C	chr00_10	Hom Dip	5	B	5	Uncharacterized content
36606	YHR009C	chr00_10	Hom Dip	5	B	6	
36608	YHR025W	chr00_10	Hom Dip	5	B	7	
36609	YHR026W	chr00_10	Hom Dip	5	B	8	
36611	YHR041C	chr00_10	Hom Dip	5	B	9	
36613	YHR059W	chr00_10	Hom Dip	5	B	10	
36615	YHR067W	chr00_10	Hom Dip	5	B	11	Uncharacterized content
36623	YHR127W	chr00_10	Hom Dip	5	B	12	
36625	YHR131C	chr00_10	Hom Dip	5	C	1	
36633	YHR180W	chr00_10	Hom Dip	5	C	2	
36634	YHR185C	chr00_10	Hom Dip	5	C	3	
36637	YHR194W	chr00_10	Hom Dip	5	C	4	Uncharacterized content
36641	YLL007C	chr00_10	Hom Dip	5	C	5	
36643	YMR154C	chr00_10	Hom Dip	5	C	6	
36645	YNL274C	chr00_10	Hom Dip	5	C	7	
36650	YOL141W	chr00_10	Hom Dip	5	C	8	
36652	YOL143C	chr00_10	Hom Dip	5	C	9	
36659	YOL150C	chr00_10	Hom Dip	5	C	10	
36664	YOL158C	chr00_10	Hom Dip	5	C	11	
36665	YOL159C	chr00_10	Hom Dip	5	C	12	
36666	YOL160W	chr00_10	Hom Dip	5	D	1	
36667	YOL162W	chr00_10	Hom Dip	5	D	2	
36668	YOL163W	chr00_10	Hom Dip	5	D	3	
36672	YOR008C-A	chr00_10	Hom Dip	5	D	4	
35809	YCR090C	Chr00_2	Hom Dip	5	D	5	
35810	YCR091W	Chr00_2	Hom Dip	5	D	6	
35811	YCR092C	Chr00_2	Hom Dip	5	D	7	
35813	YCR094W	Chr00_2	Hom Dip	5	D	8	Uncharacterized content
35815	YCR098C	Chr00_2	Hom Dip	5	D	9	
35816	YCR099C	Chr00_2	Hom Dip	5	D	10	
35817	YCR100C	Chr00_2	Hom Dip	5	D	11	
35818	YCR101C	Chr00_2	Hom Dip	5	D	12	
35819	YCR102C	Chr00_2	Hom Dip	5	E	1	
35821	YCR105W	Chr00_2	Hom Dip	5	E	2	
35822	YCR106W	Chr00_2	Hom Dip	5	E	3	
35823	YDL130W-A	Chr00_2	Hom Dip	5	E	4	
35828	YDR363W-A	Chr00_2	Hom Dip	5	E	5	
35829	YDR525W-A	Chr00_2	Hom Dip	5	E	6	
35830	YDR535C	Chr00_2	Hom Dip	5	E	7	
35831	YDR536W	Chr00_2	Hom Dip	5	E	8	
35833	YDR538W	Chr00_2	Hom Dip	5	E	9	
35834	YDR539W	Chr00_2	Hom Dip	5	E	10	
35835	YDR540C	Chr00_2	Hom Dip	5	E	11	
35836	YDR541C	Chr00_2	Hom Dip	5	E	12	
35838	YER039C-A	Chr00_2	Hom Dip	5	F	1	
35841	YER091C-A	Chr00_2	Hom Dip	5	F	2	
35842	YER144C	Chr00_2	Hom Dip	5	F	3	
35843	YER188W	Chr00_2	Hom Dip	5	F	4	
35844	YFL034C-A	Chr00_2	Hom Dip	5	F	5	
35845	YFR032C	Chr00_2	Hom Dip	5	F	6	
35846	YFR032C-A	Chr00_2	Hom Dip	5	F	7	
35847	YFR033C	Chr00_2	Hom Dip	5	F	8	
35848	YFR034C	Chr00_2	Hom Dip	5	F	9	
35849	YFR035C	Chr00_2	Hom Dip	5	F	10	
35850	YFR036W	Chr00_2	Hom Dip	5	F	11	
35852	YFR038W	Chr00_2	Hom Dip	5	F	12	
35854	YFR040W	Chr00_2	Hom Dip	5	G	1	
35855	YFR041C	Chr00_2	Hom Dip	5	G	2	
35857	YFR043C	Chr00_2	Hom Dip	5	G	3	
35858	YFR044C	Chr00_2	Hom Dip	5	G	4	
35859	YFR045W	Chr00_2	Hom Dip	5	G	5	
35860	YFR046C	Chr00_2	Hom Dip	5	G	6	
35861	YFR047C	Chr00_2	Hom Dip	5	G	7	
35862	YFR048W	Chr00_2	Hom Dip	5	G	8	
35863	YFR049W	Chr00_2	Hom Dip	5	G	9	
35867	YFR053C	Chr00_2	Hom Dip	5	G	10	
35868	YFR054C	Chr00_2	Hom Dip	5	G	11	
35869	YFR055W	Chr00_2	Hom Dip	5	G	12	
35870	YFR056C	Chr00_2	Hom Dip	5	H	1	
35871	YFR057W	Chr00_2	Hom Dip	5	H	2	
35872	YGR219W	Chr00_2	Hom Dip	5	H	3	Uncharacterized content
35873	YGR220C	Chr00_2	Hom Dip	5	H	4	Uncharacterized content
35874	YGR221C	Chr00_2	Hom Dip	5	H	5	
35875	YGR222W	Chr00_2	Hom Dip	5	H	6	Uncharacterized content
35876	YGR223C	Chr00_2	Hom Dip	5	H	7	
35877	YGR224W	Chr00_2	Hom Dip	5	H	8	
35878	YGR225W	Chr00_2	Hom Dip	5	H	9	
35879	YGR226C	Chr00_2	Hom Dip	5	H	10	
35880	YGR227W	Chr00_2	Hom Dip	5	H	11	
